the_master_key_01_f000001|The Master Key.|The Master Key.
the_master_key_06_f000062|But its original shape was more distorted than ever, and Rob feared he had utterly ruined its delicate mechanism.|But its original shape was more distorted than ever, and Rob feared he had utterly ruined its delicate mechanism.
the_master_key_06_f000063|Should this prove to be true, he might now consider himself a prisoner of this piratical band, the members of which, although temporarily disabled, would soon regain consciousness.|Should this prove to be true, he might now consider himself a prisoner of this piratical band, the members of which, although temporarily disabled, would soon regain consciousness.
the_master_key_06_f000064|He sat in the bow, sadly thinking of his misfortunes, until he noticed that one of the men began to stir.|He sat in the bow, sadly thinking of his misfortunes, until he noticed that one of the men began to stir.
the_master_key_06_f000065|The effect of the electric shock conveyed by the tube was beginning to wear away, and now the buccaneer sat up, rubbed his head in a bewildered fashion and looked around him.|The effect of the electric shock conveyed by the tube was beginning to wear away, and now the buccaneer sat up, rubbed his head in a bewildered fashion and looked around him.
the_master_key_06_f000066|When he saw Rob he gave a shout of rage and drew his knife, but one motion of the electric tube made him cringe and slip away to the cabin, where he remained out of danger.|When he saw Rob he gave a shout of rage and drew his knife, but one motion of the electric tube made him cringe and slip away to the cabin, where he remained out of danger.
the_master_key_06_f000067|And now the other four sat up, groaning and muttering in their outlandish speech; But they had no notion of facing Rob's tube a second time, so one by one they joined their leader in the cabin, leaving the boy undisturbed.|And now the other four sat up, groaning and muttering in their outlandish speech; But they had no notion of facing Rob's tube a second time, so one by one they joined their leader in the cabin, leaving the boy undisturbed.
the_master_key_06_f000068|By this time the ship had begun to pitch and toss in an uncomfortable fashion, and Rob noticed that the breeze had increased to a gale.|By this time the ship had begun to pitch and toss in an uncomfortable fashion, and Rob noticed that the breeze had increased to a gale.
the_master_key_06_f000069|There being no one to look after the sails, the vessel was in grave danger of capsizing or breaking her masts.|There being no one to look after the sails, the vessel was in grave danger of capsizing or breaking her masts.
the_master_key_06_f000070|The waves were now running high, too, and Rob began to be worried.|The waves were now running high, too, and Rob began to be worried.
the_master_key_06_f000071|Presently the captain of the pirates stuck his head out of the cabin door, jabbered some unintelligible words and pointed to the sails.|Presently the captain of the pirates stuck his head out of the cabin door, jabbered some unintelligible words and pointed to the sails.
the_master_key_06_f000072|The boy nodded, for he understood they wanted to attend to the rigging.|The boy nodded, for he understood they wanted to attend to the rigging.
the_master_key_06_f000073|So the crew trooped forth, rather fearfully, and began to reef the sails and put the ship into condition to weather the storm.|So the crew trooped forth, rather fearfully, and began to reef the sails and put the ship into condition to weather the storm.
the_master_key_06_f000074|Rob paid no further attention to them.|Rob paid no further attention to them.
the_master_key_06_f000075|He looked at his traveling machine rather doubtfully and wondered if he dared risk its power to carry him through the air.|He looked at his traveling machine rather doubtfully and wondered if he dared risk its power to carry him through the air.
the_master_key_06_f000076|Whether he remained in the ship or trusted to the machine, he stood a good chance of dropping into the sea at any moment.|Whether he remained in the ship or trusted to the machine, he stood a good chance of dropping into the sea at any moment.
the_master_key_06_f000077|So, while he hesitated, he attached the machine to his wrist and leaned over the bulwarks to watch the progress of the storm.|So, while he hesitated, he attached the machine to his wrist and leaned over the bulwarks to watch the progress of the storm.
the_master_key_06_f000078|He might stay in the ship until it foundered, he thought, and then take his chances with the machine.|He might stay in the ship until it foundered, he thought, and then take his chances with the machine.
the_master_key_06_f000079|He decided to wait until a climax arrived.|He decided to wait until a climax arrived.
the_master_key_06_f000080|The climax came the next moment, for while he leaned over the bulwarks the buccaneers stole up behind him and suddenly seized him in their grasp.|The climax came the next moment, for while he leaned over the bulwarks the buccaneers stole up behind him and suddenly seized him in their grasp.
the_master_key_06_f000081|While two of them held his arms the others searched his pockets, taking from him the electric tube and the silver box containing his tablets.|While two of them held his arms the others searched his pockets, taking from him the electric tube and the silver box containing his tablets.
the_master_key_06_f000082|These they carried to the cabin and threw upon the heap of other valuables they had stolen.|These they carried to the cabin and threw upon the heap of other valuables they had stolen.
the_master_key_06_f000083|They did not notice his traveling machine, however, but seeing him now unarmed they began jeering and laughing at him, while the brutal captain relieved his anger by giving the prisoner several malicious kicks.|They did not notice his traveling machine, however, but seeing him now unarmed they began jeering and laughing at him, while the brutal captain relieved his anger by giving the prisoner several malicious kicks.
the_master_key_06_f000084|Rob bore his misfortune meekly, although he was almost ready to cry with grief and disappointment.|Rob bore his misfortune meekly, although he was almost ready to cry with grief and disappointment.
the_master_key_06_f000085|But when one of the pirates, to inflict further punishment on the boy, came towards him with a heavy strap, he resolved not to await the blow.|But when one of the pirates, to inflict further punishment on the boy, came towards him with a heavy strap, he resolved not to await the blow.
the_master_key_06_f000086|Turning the indicator to the word up he found, to his joy and relief, that it would yet obey the influence of the power of repulsion.|Turning the indicator to the word up he found, to his joy and relief, that it would yet obey the influence of the power of repulsion.
the_master_key_06_f000087|Seeing him rise into the air the fellow made a grab for his foot and held it firmly, while his companions ran to help him.|Seeing him rise into the air the fellow made a grab for his foot and held it firmly, while his companions ran to help him.
the_master_key_06_f000088|Weight seemed to make no difference in the machine; it lifted the pirate as well as Rob; it lifted another who clung to the first man's leg, and another who clung to him.|Weight seemed to make no difference in the machine; it lifted the pirate as well as Rob; it lifted another who clung to the first man's leg, and another who clung to him.
the_master_key_06_f000089|The other two also caught hold, hoping their united strength would pull him down, and the next minute Rob was soaring through the air with the entire string of five buccaneers dangling from his left leg.|The other two also caught hold, hoping their united strength would pull him down, and the next minute Rob was soaring through the air with the entire string of five buccaneers dangling from his left leg.
the_master_key_06_f000090|At first the villains were too astounded to speak, but as they realized that they were being carried through the air and away from their ship they broke into loud shouts of dismay,|At first the villains were too astounded to speak, but as they realized that they were being carried through the air and away from their ship they broke into loud shouts of dismay,
the_master_key_06_f000091|and finally the one who grasped Rob's leg lost his hold and the five plunged downward and splashed into the sea.|and finally the one who grasped Rob's leg lost his hold and the five plunged downward and splashed into the sea.
the_master_key_06_f000092|Finding the machine disposed to work accurately, Rob left the buccaneers to swim to the ship in the best way they could, while he dropped down to the deck again and recovered from the cabin his box of tablets and the electric tube.|Finding the machine disposed to work accurately, Rob left the buccaneers to swim to the ship in the best way they could, while he dropped down to the deck again and recovered from the cabin his box of tablets and the electric tube.
the_master_key_06_f000093|The fellows were just scrambling on board when he again escaped, shooting into the air with considerable speed.|The fellows were just scrambling on board when he again escaped, shooting into the air with considerable speed.
the_master_key_06_f000094|Indeed, the instrument now worked better than at any time since he had reached the cannibal island, and the boy was greatly delighted.|Indeed, the instrument now worked better than at any time since he had reached the cannibal island, and the boy was greatly delighted.
the_master_key_06_f000095|The wind at first sent him spinning away to the south, but he continued to rise until he was above the air currents, and the storm raged far beneath him.|The wind at first sent him spinning away to the south, but he continued to rise until he was above the air currents, and the storm raged far beneath him.
the_master_key_06_f000096|Then he set the indicator to the northwest and breathlessly waited to see if it would obey.|Then he set the indicator to the northwest and breathlessly waited to see if it would obey.
the_master_key_06_f000097|Hurrah! away he sped at a fair rate of speed, while all his anxiety changed to a feeling of sweet contentment.|Hurrah! away he sped at a fair rate of speed, while all his anxiety changed to a feeling of sweet contentment.
the_master_key_06_f000098|His success had greatly surprised him, but he concluded that the jar caused by dropping the instrument had relieved the pressure upon the works, and so helped rather than harmed the free action of the electric currents.|His success had greatly surprised him, but he concluded that the jar caused by dropping the instrument had relieved the pressure upon the works, and so helped rather than harmed the free action of the electric currents.
the_master_key_06_f000099|While he moved through the air with an easy, gliding motion he watched with much interest the storm raging below.|While he moved through the air with an easy, gliding motion he watched with much interest the storm raging below.
the_master_key_06_f000100|Above his head the sun was peacefully shining and the contrast was strange and impressive.|Above his head the sun was peacefully shining and the contrast was strange and impressive.
the_master_key_06_f000101|After an hour or so the storm abated, or else he passed away from it, for the deep blue of the ocean again greeted his eyes.|After an hour or so the storm abated, or else he passed away from it, for the deep blue of the ocean again greeted his eyes.
the_master_key_06_f000102|He dropped downward until he was about a hundred feet above the water, when he continued his northwesterly course.|He dropped downward until he was about a hundred feet above the water, when he continued his northwesterly course.
the_master_key_06_f000103|But now he regretted having interfered for a moment with the action of the machine, for his progress, instead of being swift as a bird's flight, became slow and jerky, nor was he sure that the damaged machine might not break down altogether at any moment.|But now he regretted having interfered for a moment with the action of the machine, for his progress, instead of being swift as a bird's flight, became slow and jerky, nor was he sure that the damaged machine might not break down altogether at any moment.
the_master_key_06_f000104|Yet so far his progress was in the right direction, and he resolved to experiment no further with the instrument, but to let it go as it would, so long as it supported him above the water.|Yet so far his progress was in the right direction, and he resolved to experiment no further with the instrument, but to let it go as it would, so long as it supported him above the water.
the_master_key_06_f000105|However irregular the motion might be, it was sure, if continued, to bring him to land in time, and that was all he cared about just then.|However irregular the motion might be, it was sure, if continued, to bring him to land in time, and that was all he cared about just then.
the_master_key_06_f000106|When night fell his slumber was broken and uneasy, for he wakened more than once with a start of fear that the machine had broken and he was falling into the sea.|When night fell his slumber was broken and uneasy, for he wakened more than once with a start of fear that the machine had broken and he was falling into the sea.
the_master_key_06_f000107|Sometimes he was carried along at a swift pace, and again the machine scarcely worked at all; so his anxiety was excusable.|Sometimes he was carried along at a swift pace, and again the machine scarcely worked at all; so his anxiety was excusable.
the_master_key_06_f000108|The following day was one of continued uneasiness for the boy, who began to be harrassed by doubts as to whether, after all, he was moving in the right direction.|The following day was one of continued uneasiness for the boy, who began to be harrassed by doubts as to whether, after all, he was moving in the right direction.
the_master_key_06_f000109|The machine had failed at one time in this respect and it might again.|The machine had failed at one time in this respect and it might again.
the_master_key_06_f000110|He had lost all confidence in its accuracy.|He had lost all confidence in its accuracy.
the_master_key_06_f000111|In spite of these perplexities Rob passed the second night of his uneven flight in profound slumber, being exhausted by the strain and excitement he had undergone.|In spite of these perplexities Rob passed the second night of his uneven flight in profound slumber, being exhausted by the strain and excitement he had undergone.
the_master_key_06_f000112|When he awoke at daybreak, he saw, to his profound delight, that he was approaching land.|When he awoke at daybreak, he saw, to his profound delight, that he was approaching land.
the_master_key_06_f000113|The rising sun found him passing over a big city, which he knew to be Boston.|The rising sun found him passing over a big city, which he knew to be Boston.
the_master_key_06_f000114|He did not stop.|He did not stop.
the_master_key_06_f000115|The machine was so little to be depended upon that he dared make no halt.|The machine was so little to be depended upon that he dared make no halt.
the_master_key_06_f000116|But he was obliged to alter the direction from northwest to west, and the result of this slight change was so great a reduction in speed that it was mid-day before he saw beneath him the familiar village in which he lived.|But he was obliged to alter the direction from northwest to west, and the result of this slight change was so great a reduction in speed that it was mid-day before he saw beneath him the familiar village in which he lived.
the_master_key_06_f000117|Carefully marking the location of his father's house, he came to a stop directly over it, and a few moments later he managed to land upon the exact spot in the back yard whence he had taken his first successful flight.|Carefully marking the location of his father's house, he came to a stop directly over it, and a few moments later he managed to land upon the exact spot in the back yard whence he had taken his first successful flight.
the_master_key_07_f000001|Chapter 7.|Chapter seven.
the_master_key_07_f000002|The Demon Becomes Angry.|The Demon Becomes Angry.
the_master_key_07_f000003|When Rob had been hugged and kissed by his mother and sisters, and even Mr. Joslyn had embraced him warmly, he gave them a brief account of his adventures.|When Rob had been hugged and kissed by his mother and sisters, and even Mr. Joslyn had embraced him warmly, he gave them a brief account of his adventures.
the_master_key_07_f000004|The story was received with many doubtful looks and much grave shaking of heads, as was quite natural under the circumstances.|The story was received with many doubtful looks and much grave shaking of heads, as was quite natural under the circumstances.
the_master_key_07_f000005|I hope, my dear son, said the father, that you have now passed through enough dangers to last you a lifetime, so that hereafter you will be contented to remain at home.|I hope, my dear son, said the father, that you have now passed through enough dangers to last you a lifetime, so that hereafter you will be contented to remain at home.
the_master_key_07_f000006|Oh, Robert! cried his mother, with tears in her loving eyes, you don't know how we've all worried about you for the past week!|Oh, Robert! cried his mother, with tears in her loving eyes, you don't know how we've all worried about you for the past week!
the_master_key_07_f000007|A week? asked Rob, with surprise.|A week? asked Rob, with surprise.
the_master_key_07_f000008|Yes; it's a week to-morrow morning since you flew into the air and disappeared.|Yes; it's a week to-morrow morning since you flew into the air and disappeared.
the_master_key_07_f000009|Then, said the boy, thoughtfully, I've reached home just in time.|Then, said the boy, thoughtfully, I've reached home just in time.
the_master_key_07_f000010|In time for what? she asked.|In time for what? she asked.
the_master_key_07_f000011|But he did not answer that question.|But he did not answer that question.
the_master_key_07_f000012|He was thinking of the Demon, and that on the afternoon of this very day he might expect the wise and splendid genius to visit him a second time.|He was thinking of the Demon, and that on the afternoon of this very day he might expect the wise and splendid genius to visit him a second time.
the_master_key_07_f000013|At luncheon, although he did not feel hungry, he joined the family at the table and pleased his mother by eating as heartily as of old.|At luncheon, although he did not feel hungry, he joined the family at the table and pleased his mother by eating as heartily as of old.
the_master_key_07_f000014|He was surprised to find how good the food tasted, and to realize what a pleasure it is to gratify one's sense of taste.|He was surprised to find how good the food tasted, and to realize what a pleasure it is to gratify one's sense of taste.
the_master_key_07_f000015|The tablets were all right for a journey, he thought, but if he always ate them he would be sure to miss a great deal of enjoyment, since there was no taste to them at all.|The tablets were all right for a journey, he thought, but if he always ate them he would be sure to miss a great deal of enjoyment, since there was no taste to them at all.
the_master_key_07_f000016|At four o'clock he went to his workshop and unlocked the door.|At four o'clock he went to his workshop and unlocked the door.
the_master_key_07_f000017|Everything was exactly as he had left it, and he looked at his simple electrical devices with some amusement.|Everything was exactly as he had left it, and he looked at his simple electrical devices with some amusement.
the_master_key_07_f000018|They seemed tame beside the wonders now in his possession; yet he recollected that his numerous wires had enabled him to strike the Master Key, and therefore should not be despised.|They seemed tame beside the wonders now in his possession; yet he recollected that his numerous wires had enabled him to strike the Master Key, and therefore should not be despised.
the_master_key_07_f000019|Before long he noticed a quickening in the air, as if it were suddenly surcharged with electric fluid, and the next instant, in a dazzling flash of light, appeared the Demon.|Before long he noticed a quickening in the air, as if it were suddenly surcharged with electric fluid, and the next instant, in a dazzling flash of light, appeared the Demon.
the_master_key_07_f000020|I am here! he announced.|I am here! he announced.
the_master_key_07_f000021|So am I, answered Rob.|So am I, answered Rob.
the_master_key_07_f000022|But at one time I really thought I should never see you again.|But at one time I really thought I should never see you again.
the_master_key_07_f000023|I've been- Spare me your history, said the Demon, coldly.|I've been- Spare me your history, said the Demon, coldly.
the_master_key_07_f000024|I am aware of your adventures.|I am aware of your adventures.
the_master_key_07_f000025|Oh, you are! said Rob, amazed.|Oh, you are! said Rob, amazed.
the_master_key_07_f000026|Then you know- I know all about your foolish experiences, interrupted the Demon, for I have been with you constantly, although I remained invisible.|Then you know- I know all about your foolish experiences, interrupted the Demon, for I have been with you constantly, although I remained invisible.
the_master_key_07_f000027|Then you know what a jolly time I've had, returned the boy.|Then you know what a jolly time I've had, returned the boy.
the_master_key_07_f000028|But why do you call them foolish experiences?|But why do you call them foolish experiences?
the_master_key_07_f000029|Because they were, abominably foolish!|Because they were, abominably foolish!
the_master_key_07_f000030|retorted the Demon, bitterly.|retorted the Demon, bitterly.
the_master_key_07_f000031|I entrusted to you gifts of rare scientific interest-electrical devices of such utility that their general adoption by mankind would create a new era in earth life.|I entrusted to you gifts of rare scientific interest-electrical devices of such utility that their general adoption by mankind would create a new era in earth life.
the_master_key_07_f000032|I hoped your use of these devices would convey such hints to electrical engineers that they would quickly comprehend their mechanism and be able to reproduce them in sufficient quantities to supply the world.|I hoped your use of these devices would convey such hints to electrical engineers that they would quickly comprehend their mechanism and be able to reproduce them in sufficient quantities to supply the world.
the_master_key_07_f000033|And how do you treat these marvelous gifts?|And how do you treat these marvelous gifts?
the_master_key_07_f000034|Why, you carry them to a cannibal island, where even your crude civilization has not yet penetrated!|Why, you carry them to a cannibal island, where even your crude civilization has not yet penetrated!
the_master_key_07_f000035|I wanted to astonish the natives, said Rob, grinning.|I wanted to astonish the natives, said Rob, grinning.
the_master_key_07_f000036|The Demon uttered an exclamation of anger, and stamped his foot so fiercely that thousands of electric sparks filled the air, to disappear quickly with a hissing, crinkling sound.|The Demon uttered an exclamation of anger, and stamped his foot so fiercely that thousands of electric sparks filled the air, to disappear quickly with a hissing, crinkling sound.
the_master_key_07_f000037|You might have astonished those ignorant natives as easily by showing them an ordinary electric light, he cried, mockingly.|You might have astonished those ignorant natives as easily by showing them an ordinary electric light, he cried, mockingly.
the_master_key_07_f000038|The power of your gifts would have startled the most advanced electricians of the world.|The power of your gifts would have startled the most advanced electricians of the world.
the_master_key_07_f000039|Why did you waste them upon barbarians?|Why did you waste them upon barbarians?
the_master_key_07_f000040|Really, faltered Rob, who was frightened and awed by the Demon's vehement anger, I never intended to visit a cannibal island.|Really, faltered Rob, who was frightened and awed by the Demon's vehement anger, I never intended to visit a cannibal island.
the_master_key_07_f000041|I meant to go to Cuba.|I meant to go to Cuba.
the_master_key_07_f000042|Cuba!|Cuba!
the_master_key_07_f000043|Is that a center of advanced scientific thought?|Is that a center of advanced scientific thought?
the_master_key_07_f000044|Why did you not take your marvels to New York or Chicago; or, if you wished to cross the ocean, to Paris or Vienna?|Why did you not take your marvels to New York or Chicago; or, if you wished to cross the ocean, to Paris or Vienna?
the_master_key_07_f000045|I never thought of those places, acknowledged Rob, meekly.|I never thought of those places, acknowledged Rob, meekly.
the_master_key_07_f000046|Then you were foolish, as I said, declared the Demon, in a calmer tone.|Then you were foolish, as I said, declared the Demon, in a calmer tone.
the_master_key_07_f000047|Can you not realize that it is better to be considered great by the intelligent thinkers of the earth, than to be taken for a god by stupid cannibals?|Can you not realize that it is better to be considered great by the intelligent thinkers of the earth, than to be taken for a god by stupid cannibals?
the_master_key_07_f000048|Oh, yes, of course, said Rob.|Oh, yes, of course, said Rob.
the_master_key_07_f000049|I wish now that I had gone to Europe.|I wish now that I had gone to Europe.
the_master_key_07_f000050|But you're not the only one who has a kick coming, he continued.|But you're not the only one who has a kick coming, he continued.
the_master_key_07_f000051|Your flimsy traveling machine was nearly the death of me.|Your flimsy traveling machine was nearly the death of me.
the_master_key_07_f000052|Ah, it is true, acknowledged the Demon, frankly.|Ah, it is true, acknowledged the Demon, frankly.
the_master_key_07_f000053|The case was made of too light material.|The case was made of too light material.
the_master_key_07_f000054|When the rim was bent it pressed against the works and impeded the proper action of the currents.|When the rim was bent it pressed against the works and impeded the proper action of the currents.
the_master_key_07_f000055|Had you gone to a civilized country such an accident could not have happened; but to avoid possible trouble in the future I have prepared a new instrument, having a stronger case, which I will exchange for the one you now have.|Had you gone to a civilized country such an accident could not have happened; but to avoid possible trouble in the future I have prepared a new instrument, having a stronger case, which I will exchange for the one you now have.
the_master_key_07_f000056|That's very kind of you, said Rob, eagerly handing his battered machine to the Demon and receiving the new one in return.|That's very kind of you, said Rob, eagerly handing his battered machine to the Demon and receiving the new one in return.
the_master_key_07_f000057|Are you sure this will work?|Are you sure this will work?
the_master_key_07_f000058|It is impossible for you to injure it, answered the other.|It is impossible for you to injure it, answered the other.
the_master_key_07_f000059|And how about the next three gifts?|And how about the next three gifts?
the_master_key_07_f000060|inquired the boy, anxiously.|inquired the boy, anxiously.
the_master_key_07_f000061|Before I grant them, replied the Demon, you must give me a promise to keep away from uncivilized places and to exhibit your acquirements only among people of intelligence.|Before I grant them, replied the Demon, you must give me a promise to keep away from uncivilized places and to exhibit your acquirements only among people of intelligence.
the_master_key_07_f000062|All right, agreed the boy; I'm not anxious to visit that island again, or any other uncivilized country.|All right, agreed the boy; I'm not anxious to visit that island again, or any other uncivilized country.
the_master_key_07_f000063|Then I will add to your possessions three gifts, each more precious and important than the three you have already received.|Then I will add to your possessions three gifts, each more precious and important than the three you have already received.
the_master_key_07_f000064|At this announcement Rob began to quiver with excitement, and sat staring eagerly at the Demon, while the latter increased in stature and sparkled and glowed more brilliantly than ever.|At this announcement Rob began to quiver with excitement, and sat staring eagerly at the Demon, while the latter increased in stature and sparkled and glowed more brilliantly than ever.
the_master_key_08_f000001|Chapter 8.|Chapter eight.
the_master_key_08_f000002|Rob Acquires New Powers.|Rob Acquires New Powers.
the_master_key_08_f000003|I have seen the folly of sending you into the world with an offensive instrument, yet with no method of defense, resumed the Demon, presently.|I have seen the folly of sending you into the world with an offensive instrument, yet with no method of defense, resumed the Demon, presently.
the_master_key_08_f000004|You have knocked over a good many people with that tube during the past week.|You have knocked over a good many people with that tube during the past week.
the_master_key_08_f000005|I know, said Rob; but I couldn't help it.|I know, said Rob; but I couldn't help it.
the_master_key_08_f000006|It was the only way I had to protect myself.|It was the only way I had to protect myself.
the_master_key_08_f000007|Therefore my next gift shall be this Garment of Protection.|Therefore my next gift shall be this Garment of Protection.
the_master_key_08_f000008|You must wear it underneath your clothing.|You must wear it underneath your clothing.
the_master_key_08_f000009|It has power to accumulate and exercise electrical repellent force.|It has power to accumulate and exercise electrical repellent force.
the_master_key_08_f000010|Perhaps you do not know what that means, so I will explain more fully.|Perhaps you do not know what that means, so I will explain more fully.
the_master_key_08_f000011|When any missile, such as a bullet, sword or lance, approaches your person, its rush through the air will arouse the repellent force of which I speak, and this force, being more powerful than the projective force, will arrest the flight of the missile and throw it back again.|When any missile, such as a bullet, sword or lance, approaches your person, its rush through the air will arouse the repellent force of which I speak, and this force, being more powerful than the projective force, will arrest the flight of the missile and throw it back again.
the_master_key_08_f000012|Therefore nothing can touch your person that comes with any degree of force or swiftness, and you will be safe from all ordinary weapons.|Therefore nothing can touch your person that comes with any degree of force or swiftness, and you will be safe from all ordinary weapons.
the_master_key_08_f000013|When wearing this Garment you will find it unnecessary to use the electric tube except on rare occasions.|When wearing this Garment you will find it unnecessary to use the electric tube except on rare occasions.
the_master_key_08_f000014|Never allow revenge or animosity to influence your conduct.|Never allow revenge or animosity to influence your conduct.
the_master_key_08_f000015|Men may threaten, but they can not injure you, so you must remember that they do not possess your mighty advantages, and that, because of your strength, you should bear with them patiently.|Men may threaten, but they can not injure you, so you must remember that they do not possess your mighty advantages, and that, because of your strength, you should bear with them patiently.
the_master_key_08_f000016|Rob examined the garment with much curiosity.|Rob examined the garment with much curiosity.
the_master_key_08_f000017|It glittered like silver, yet was soft and pliable as lamb's wool.|It glittered like silver, yet was soft and pliable as lamb's wool.
the_master_key_08_f000018|Evidently the Demon had prepared it especially for his use, for it was just Rob's size.|Evidently the Demon had prepared it especially for his use, for it was just Rob's size.
the_master_key_08_f000019|Now, continued the Demon, more gravely, we approach the subject of an electrical device so truly marvelous that even I am awed when I contemplate the accuracy and perfection of the natural laws which guide it and permit it to exercise its functions.|Now, continued the Demon, more gravely, we approach the subject of an electrical device so truly marvelous that even I am awed when I contemplate the accuracy and perfection of the natural laws which guide it and permit it to exercise its functions.
the_master_key_08_f000020|Mankind has as yet conceived nothing like it, for it requires full knowledge of electrical power to understand even its possibilities.|Mankind has as yet conceived nothing like it, for it requires full knowledge of electrical power to understand even its possibilities.
the_master_key_08_f000021|The Being paused, and drew from an inner pocket something resembling a flat metal box.|The Being paused, and drew from an inner pocket something resembling a flat metal box.
the_master_key_08_f000022|In size it was about four inches by six, and nearly an inch in thickness.|In size it was about four inches by six, and nearly an inch in thickness.
the_master_key_08_f000023|What is it? asked Rob, wonderingly.|What is it? asked Rob, wonderingly.
the_master_key_08_f000024|It is an automatic Record of Events, answered the Demon.|It is an automatic Record of Events, answered the Demon.
the_master_key_08_f000025|I don't understand, said Rob, with hesitation.|I don't understand, said Rob, with hesitation.
the_master_key_08_f000026|I will explain to you its use, returned the Demon, although the electrical forces which operate it and the vibratory currents which are the true records must remain unknown to you until your brain has mastered the higher knowledge of electricity.|I will explain to you its use, returned the Demon, although the electrical forces which operate it and the vibratory currents which are the true records must remain unknown to you until your brain has mastered the higher knowledge of electricity.
the_master_key_08_f000027|At present the practical side of this invention will be more interesting to you than a review of its scientific construction.|At present the practical side of this invention will be more interesting to you than a review of its scientific construction.
the_master_key_08_f000028|Suppose you wish to know the principal events that are occurring in Germany at the present moment.|Suppose you wish to know the principal events that are occurring in Germany at the present moment.
the_master_key_08_f000029|You first turn this little wheel at the side until the word 'Germany' appears in the slot at the small end.|You first turn this little wheel at the side until the word 'Germany' appears in the slot at the small end.
the_master_key_08_f000030|Then open the top cover, which is hinged, and those passing events in which you are interested will appear before your eyes.|Then open the top cover, which is hinged, and those passing events in which you are interested will appear before your eyes.
the_master_key_08_f000031|The Demon, as he spoke, opened the cover, and, looking within, the boy saw, as in a mirror, a moving picture before him.|The Demon, as he spoke, opened the cover, and, looking within, the boy saw, as in a mirror, a moving picture before him.
the_master_key_08_f000032|A regiment of soldiers was marching through the streets of Berlin, and at its head rode a body of horsemen, in the midst of which was the Emperor himself.|A regiment of soldiers was marching through the streets of Berlin, and at its head rode a body of horsemen, in the midst of which was the Emperor himself.
the_master_key_08_f000033|The people who thronged the sidewalks cheered and waved their hats and handkerchiefs with enthusiasm, while a band of musicians played a German air, which Rob could distinctly hear.|The people who thronged the sidewalks cheered and waved their hats and handkerchiefs with enthusiasm, while a band of musicians played a German air, which Rob could distinctly hear.
the_master_key_08_f000034|While he gazed, spell-bound, the scene changed, and he looked upon a great warship entering a harbor with flying pennants.|While he gazed, spell-bound, the scene changed, and he looked upon a great warship entering a harbor with flying pennants.
the_master_key_08_f000035|The rails were lined with officers and men straining their eyes for the first sight of their beloved VATERLAND after a long foreign cruise, and a ringing cheer, as from a thousand throats, came faintly to Rob's ear.|The rails were lined with officers and men straining their eyes for the first sight of their beloved VATERLAND after a long foreign cruise, and a ringing cheer, as from a thousand throats, came faintly to Rob's ear.
the_master_key_08_f000036|Again the scene changed, and within a dingy, underground room, hemmed in by walls of stone, and dimly lighted by a flickering lamp, a body of wild-eyed, desperate men were plighting an oath to murder the Emperor and overthrow his government.|Again the scene changed, and within a dingy, underground room, hemmed in by walls of stone, and dimly lighted by a flickering lamp, a body of wild-eyed, desperate men were plighting an oath to murder the Emperor and overthrow his government.
the_master_key_08_f000037|Anarchists? asked Rob, trembling with excitement.|Anarchists? asked Rob, trembling with excitement.
the_master_key_08_f000038|Anarchists! answered the Demon, with a faint sneer, and he shut the cover of the Record with a sudden snap.|Anarchists! answered the Demon, with a faint sneer, and he shut the cover of the Record with a sudden snap.
the_master_key_08_f000039|It's wonderful! cried the boy, with a sigh that was followed by a slight shiver.|It's wonderful! cried the boy, with a sigh that was followed by a slight shiver.
the_master_key_08_f000040|The Record is, indeed, proof within itself of the marvelous possibilities of electricity.|The Record is, indeed, proof within itself of the marvelous possibilities of electricity.
the_master_key_08_f000041|Men are now obliged to depend upon newspapers for information; but these can only relate events long after they have occurred.|Men are now obliged to depend upon newspapers for information; but these can only relate events long after they have occurred.
the_master_key_08_f000042|And newspaper statements are often unreliable and sometimes wholly false, while many events of real importance are never printed in their columns.|And newspaper statements are often unreliable and sometimes wholly false, while many events of real importance are never printed in their columns.
the_master_key_08_f000043|You may guess what an improvement is this automatic Record of Events, which is as reliable as Truth itself.|You may guess what an improvement is this automatic Record of Events, which is as reliable as Truth itself.
the_master_key_08_f000044|Nothing can be altered or falsified, for the vibratory currents convey the actual events to your vision, even as they happen.|Nothing can be altered or falsified, for the vibratory currents convey the actual events to your vision, even as they happen.
the_master_key_08_f000045|But suppose, said Rob, that something important should happen while I'm asleep, or not looking at the box?|But suppose, said Rob, that something important should happen while I'm asleep, or not looking at the box?
the_master_key_08_f000046|I have called this a Record, replied the Demon, and such it really is, although I have shown you only such events as are in process of being recorded.|I have called this a Record, replied the Demon, and such it really is, although I have shown you only such events as are in process of being recorded.
the_master_key_08_f000047|By pressing this spring you may open the opposite cover of the box, where all events of importance that have occurred throughout the world during the previous twenty-four hours will appear before you in succession.|By pressing this spring you may open the opposite cover of the box, where all events of importance that have occurred throughout the world during the previous twenty-four hours will appear before you in succession.
the_master_key_08_f000048|You may thus study them at your leisure.|You may thus study them at your leisure.
the_master_key_08_f000049|The various scenes constitute a register of the world's history, and may be recalled to view as often as you desire.|The various scenes constitute a register of the world's history, and may be recalled to view as often as you desire.
the_master_key_08_f000050|It's-it's like knowing everything, murmured Rob, deeply impressed for perhaps the first time in his life.|It's-it's like knowing everything, murmured Rob, deeply impressed for perhaps the first time in his life.
