the_sea_fairies_01_f000001|THE oceans are big and broad.|THE oceans are big and broad.
the_sea_fairies_06_f000055|Why not? asked Merla, who overheard him.|Why not? asked Merla, who overheard him.
the_sea_fairies_06_f000056|A pipe has to be lighted, and a match wouldn't burn, he replied.|A pipe has to be lighted, and a match wouldn't burn, he replied.
the_sea_fairies_06_f000057|Try it, suggested the mermaid.|Try it, suggested the mermaid.
the_sea_fairies_06_f000058|I do not mind your smoking at all, if it will give you pleasure.|I do not mind your smoking at all, if it will give you pleasure.
the_sea_fairies_06_f000059|It's a bad habit I've got, and I'm too old to break myself of it, said Captain Bill.|It's a bad habit I've got, and I'm too old to break myself of it, said Captain Bill.
the_sea_fairies_06_f000060|Then he felt in the big pocket of his coat and took out a pipe and a bag of tobacco.|Then he felt in the big pocket of his coat and took out a pipe and a bag of tobacco.
the_sea_fairies_06_f000061|After he had carefully filled his pipe, rejoicing in the fact that the tobacco was not at all wet, he took out his matchbox and struck a light.|After he had carefully filled his pipe, rejoicing in the fact that the tobacco was not at all wet, he took out his matchbox and struck a light.
the_sea_fairies_06_f000062|The match burned brightly, and soon the sailor was puffing the smoke from his pipe in great contentment.|The match burned brightly, and soon the sailor was puffing the smoke from his pipe in great contentment.
the_sea_fairies_06_f000063|The smoke ascended through the water in the shape of bubbles, and Trot wondered what anyone who happened to be floating upon the surface of the ocean would think to see smoke coming from the water.|The smoke ascended through the water in the shape of bubbles, and Trot wondered what anyone who happened to be floating upon the surface of the ocean would think to see smoke coming from the water.
the_sea_fairies_06_f000064|Well, I find I can smoke, all right, remarked Captain Bill, but it bothers me to understand why.|Well, I find I can smoke, all right, remarked Captain Bill, but it bothers me to understand why.
the_sea_fairies_06_f000065|It is because of the air space existing between the water and everything you have about you, explained Merla.|It is because of the air space existing between the water and everything you have about you, explained Merla.
the_sea_fairies_06_f000066|But now, if you will come this way, I will take you to visit some of our neighbors.|But now, if you will come this way, I will take you to visit some of our neighbors.
the_sea_fairies_06_f000067|They passed over the carpet of sea flowers, the gorgeous blossoms swaying on their stems as the motion of the people in the water above them disturbed their repose,|They passed over the carpet of sea flowers, the gorgeous blossoms swaying on their stems as the motion of the people in the water above them disturbed their repose,
the_sea_fairies_06_f000068|and presently the three entered the dense shrubbery surrounding the palace.|and presently the three entered the dense shrubbery surrounding the palace.
the_sea_fairies_06_f000069|They had not proceeded far when they came to a clearing among the bushes, and here Merla.|They had not proceeded far when they came to a clearing among the bushes, and here Merla.
the_sea_fairies_06_f000070|paused. Trot and Captain Bill paused, too, for floating in the clear water was a group of beautiful shapes that the child thought looked like molds of wine jelly.|paused. Trot and Captain Bill paused, too, for floating in the clear water was a group of beautiful shapes that the child thought looked like molds of wine jelly.
the_sea_fairies_06_f000071|They were round as a dinner plate, soft and transparent, but tinted in such lovely hues that no artist's brush has ever been able to imitate them.|They were round as a dinner plate, soft and transparent, but tinted in such lovely hues that no artist's brush has ever been able to imitate them.
the_sea_fairies_06_f000072|Some were deep sapphire blue; others rose pink; still others a delicate topaz color.|Some were deep sapphire blue; others rose pink; still others a delicate topaz color.
the_sea_fairies_06_f000073|They seemed to have neither heads, eyes nor ears, yet it was easy to see they were alive and able to float in any direction they wished to go.|They seemed to have neither heads, eyes nor ears, yet it was easy to see they were alive and able to float in any direction they wished to go.
the_sea_fairies_06_f000074|In shape they resembled inverted flowerpots, with the upper edges fluted, and from the centers floated what seemed to be bouquets of flowers.|In shape they resembled inverted flowerpots, with the upper edges fluted, and from the centers floated what seemed to be bouquets of flowers.
the_sea_fairies_06_f000075|How pretty!|How pretty!
the_sea_fairies_06_f000076|exclaimed Trot, enraptured by the sight.|exclaimed Trot, enraptured by the sight.
the_sea_fairies_06_f000077|Yes, this is a rare variety of jellyfish, replied Merla.|Yes, this is a rare variety of jellyfish, replied Merla.
the_sea_fairies_06_f000078|The creatures are not so delicate as they appear, and live for a long timeunless they get too near the surface and the waves wash them ashore.|The creatures are not so delicate as they appear, and live for a long timeunless they get too near the surface and the waves wash them ashore.
the_sea_fairies_06_f000079|After watching the jellyfish a few moments, they followed Merla through the grove, and soon a low chant, like that of an Indian song, fell upon their ears.|After watching the jellyfish a few moments, they followed Merla through the grove, and soon a low chant, like that of an Indian song, fell upon their ears.
the_sea_fairies_06_f000080|It was a chorus of many small voices and grew louder as they swam on.|It was a chorus of many small voices and grew louder as they swam on.
the_sea_fairies_06_f000081|Presently a big rock rose suddenly before them from the bottom of the sea, rearing its steep side far up into the water overhead,|Presently a big rock rose suddenly before them from the bottom of the sea, rearing its steep side far up into the water overhead,
the_sea_fairies_06_f000082|and this rock was thickly covered with tiny shells that clung fast to its surface.|and this rock was thickly covered with tiny shells that clung fast to its surface.
the_sea_fairies_06_f000083|The chorus they heard appeared to come from these shells, and Merla said to her companions, These are the singing barnacles.|The chorus they heard appeared to come from these shells, and Merla said to her companions, These are the singing barnacles.
the_sea_fairies_06_f000084|They are really very amusing, and if you listen carefully, you can hear what they say.|They are really very amusing, and if you listen carefully, you can hear what they say.
the_sea_fairies_06_f000085|So Trot and Captain Bill listened, and this is what the barnacles sang: We went to topsy-turvy land to see a man-o'-war, And we were much attached to it, because we simply were;|So Trot and Captain Bill listened, and this is what the barnacles sang: We went to topsy-turvy land to see a man-o'-war, And we were much attached to it, because we simply were;
the_sea_fairies_06_f000086|We found an anchor-ite within the mud upon the lea For the ghost of Jonah's whale he ran away and went to sea.|We found an anchor-ite within the mud upon the lea For the ghost of Jonah's whale he ran away and went to sea.
the_sea_fairies_06_f000087|Oh, it was awful!|Oh, it was awful!
the_sea_fairies_06_f000088|It was unlawful!|It was unlawful!
the_sea_fairies_06_f000089|We rallied round the flag in sev'ral millions; They couldn't shake us; They had to take us; So the halibut and cod they danced cotillions.|We rallied round the flag in sev'ral millions; They couldn't shake us; They had to take us; So the halibut and cod they danced cotillions.
the_sea_fairies_06_f000090|What does it all mean? asked Trot.|What does it all mean? asked Trot.
the_sea_fairies_06_f000091|I suppose they refer to the way barnacles have of clinging to ships, replied Merla, but usually the songs mean nothing at all.|I suppose they refer to the way barnacles have of clinging to ships, replied Merla, but usually the songs mean nothing at all.
the_sea_fairies_06_f000092|The little barnacles haven't many brains, so we usually find their songs quite stupid.|The little barnacles haven't many brains, so we usually find their songs quite stupid.
the_sea_fairies_06_f000093|Do they write some comic operas? asked the child.|Do they write some comic operas? asked the child.
the_sea_fairies_06_f000094|I think not, answered the mermaid.|I think not, answered the mermaid.
the_sea_fairies_06_f000095|They seem to like the songs themselves, remarked Captain Bill.|They seem to like the songs themselves, remarked Captain Bill.
the_sea_fairies_06_f000096|Oh yes, they sing all day long.|Oh yes, they sing all day long.
the_sea_fairies_06_f000097|But it never matters to them whether their songs mean anything or not.|But it never matters to them whether their songs mean anything or not.
the_sea_fairies_06_f000098|Let us go in this direction and visit some other sea people.|Let us go in this direction and visit some other sea people.
the_sea_fairies_06_f000099|So they swam away from the barnacle-covered rock, and Trot heard the last chorus as she slowly followed their conductor.|So they swam away from the barnacle-covered rock, and Trot heard the last chorus as she slowly followed their conductor.
the_sea_fairies_06_f000100|The barnacles were singing: Oh, very well, then, I hear the curfew, Please go away and come some other day; Goliath tussels With Samson's muscles,|The barnacles were singing: Oh, very well, then, I hear the curfew, Please go away and come some other day; Goliath tussels With Samson's muscles,
the_sea_fairies_06_f000101|Yet the muscles never fight in Oyster Bay.|Yet the muscles never fight in Oyster Bay.
the_sea_fairies_06_f000102|It's jus' nonsense! said Trot scornfully.|It's jus' nonsense! said Trot scornfully.
the_sea_fairies_06_f000103|Why don't they sing 'Annie Laurie' or 'Home, Sweet Home' or else keep quiet?|Why don't they sing 'Annie Laurie' or 'Home, Sweet Home' or else keep quiet?
the_sea_fairies_06_f000104|Why, if they were quiet, replied Merla, they wouldn't be singing barnacles.|Why, if they were quiet, replied Merla, they wouldn't be singing barnacles.
the_sea_fairies_06_f000105|They now came to one of the avenues which led from the sea garden out into the broad ocean, and here two swordfishes were standing guard.|They now came to one of the avenues which led from the sea garden out into the broad ocean, and here two swordfishes were standing guard.
the_sea_fairies_06_f000106|Is all quiet?|Is all quiet?
the_sea_fairies_06_f000107|Merla asked them.|Merla asked them.
the_sea_fairies_06_f000108|Just as usual, your Highness, replied one of the guards.|Just as usual, your Highness, replied one of the guards.
the_sea_fairies_06_f000109|Mummercubble was sick this morning and grunted dreadfully, but he's better now and has gone to sleep.|Mummercubble was sick this morning and grunted dreadfully, but he's better now and has gone to sleep.
the_sea_fairies_06_f000110|King Anko has been stirring around some, but is now taking his after-dinner nap.|King Anko has been stirring around some, but is now taking his after-dinner nap.
the_sea_fairies_06_f000111|I think it will be perfectly safe for you to swim out for a while, if you wish.|I think it will be perfectly safe for you to swim out for a while, if you wish.
the_sea_fairies_06_f000112|Who's Mummercubble? asked Trot as they passed out into deep water.|Who's Mummercubble? asked Trot as they passed out into deep water.
the_sea_fairies_06_f000113|He's the sea pig, replied Merla.|He's the sea pig, replied Merla.
the_sea_fairies_06_f000114|I am glad he's asleep, for now we won't meet him.|I am glad he's asleep, for now we won't meet him.
the_sea_fairies_06_f000115|Don't you like him?|Don't you like him?
the_sea_fairies_06_f000116|inquired Trot.|inquired Trot.
the_sea_fairies_06_f000117|Oh, he complains so bitterly of everything that he bores us, Merla answered.|Oh, he complains so bitterly of everything that he bores us, Merla answered.
the_sea_fairies_06_f000118|Mummercubble is never contented or happy for a single minute.|Mummercubble is never contented or happy for a single minute.
the_sea_fairies_06_f000119|I've seen people like that, said Captain Bill with a nod of his head.|I've seen people like that, said Captain Bill with a nod of his head.
the_sea_fairies_06_f000120|and they has a way of upsettin' the happiest folks they meet.|and they has a way of upsettin' the happiest folks they meet.
the_sea_fairies_06_f000121|Look out!|Look out!
the_sea_fairies_06_f000122|suddenly cried the mermaid.|suddenly cried the mermaid.
the_sea_fairies_06_f000123|Look out for your fingers!|Look out for your fingers!
the_sea_fairies_06_f000124|Here are the snapping eels.|Here are the snapping eels.
the_sea_fairies_06_f000125|Who?|Who?
the_sea_fairies_06_f000126|Where? asked Trot anxiously.|Where? asked Trot anxiously.
the_sea_fairies_06_f000127|And now they were in the midst of a cluster of wriggling, darting eels which sported all around them in the water with marvelous activity.|And now they were in the midst of a cluster of wriggling, darting eels which sported all around them in the water with marvelous activity.
the_sea_fairies_06_f000128|Yes, look out for your fingers and your noses! said one of the eels, making a dash for Captain Bill.|Yes, look out for your fingers and your noses! said one of the eels, making a dash for Captain Bill.
the_sea_fairies_06_f000129|At first the sailor was tempted to put out a hand and push the creature away, but remembering that his fingers would thus be exposed, he remained quiet,|At first the sailor was tempted to put out a hand and push the creature away, but remembering that his fingers would thus be exposed, he remained quiet,
the_sea_fairies_06_f000130|and the eel snapped harmlessly just before his face and then darted away.|and the eel snapped harmlessly just before his face and then darted away.
the_sea_fairies_06_f000131|Stop it! said Merla.|Stop it! said Merla.
the_sea_fairies_06_f000132|Stop it this minute, or I'll report your impudence to Aquareine.|Stop it this minute, or I'll report your impudence to Aquareine.
the_sea_fairies_06_f000133|Oh, who cares?|Oh, who cares?
the_sea_fairies_06_f000134|shouted the Eels.|shouted the Eels.
the_sea_fairies_06_f000135|We're not afraid of the mermaids.|We're not afraid of the mermaids.
the_sea_fairies_06_f000136|She'll stiffen you up again, as she did once before, said Merla, if you try to hurt the earth people.|She'll stiffen you up again, as she did once before, said Merla, if you try to hurt the earth people.
the_sea_fairies_06_f000137|Are these earth people? asked one.|Are these earth people? asked one.
the_sea_fairies_06_f000138|And then they all stopped their play and regarded Trot and Captain Bill with their little black eyes.|And then they all stopped their play and regarded Trot and Captain Bill with their little black eyes.
the_sea_fairies_06_f000139|The old polliwog looks something like King Anko, said one of them.|The old polliwog looks something like King Anko, said one of them.
the_sea_fairies_06_f000140|I'm not a polliwog!|I'm not a polliwog!
the_sea_fairies_06_f000141|answered Captain Bill angrily.|answered Captain Bill angrily.
the_sea_fairies_06_f000142|I'm a respec'ble sailor man, and I'll have you treat me decent or I'll know why.|I'm a respec'ble sailor man, and I'll have you treat me decent or I'll know why.
the_sea_fairies_06_f000143|Sailor! said another.|Sailor! said another.
the_sea_fairies_06_f000144|That means to float on the waternot IN it.|That means to float on the waternot IN it.
the_sea_fairies_06_f000145|What are you doing down here?|What are you doing down here?
the_sea_fairies_06_f000146|I'm jes' a-visitin', answered Captain Bill.|I'm jes' a-visitin', answered Captain Bill.
the_sea_fairies_06_f000147|He is the guest of our queen, said Merla, and so is this little girl.|He is the guest of our queen, said Merla, and so is this little girl.
the_sea_fairies_06_f000148|If you do not behave nicely to them, you will surely be sorry.|If you do not behave nicely to them, you will surely be sorry.
the_sea_fairies_06_f000149|Oh, that's all right, replied one of the biggest eels, wriggling around in a circle and then snapping at a companion, which as quickly snapped out of his way.|Oh, that's all right, replied one of the biggest eels, wriggling around in a circle and then snapping at a companion, which as quickly snapped out of his way.
the_sea_fairies_06_f000150|We know how to be polite to company as well as the mermaids.|We know how to be polite to company as well as the mermaids.
the_sea_fairies_06_f000151|We won't hurt them.|We won't hurt them.
the_sea_fairies_06_f000152|Come on, fellows, let's go scare old Mummercubble, cried another; and then in a flash they all darted away and left our friends to themselves.|Come on, fellows, let's go scare old Mummercubble, cried another; and then in a flash they all darted away and left our friends to themselves.
the_sea_fairies_06_f000153|Trot was greatly relieved.|Trot was greatly relieved.
the_sea_fairies_06_f000154|I don't like eels, she said.|I don't like eels, she said.
the_sea_fairies_06_f000155|They are more mischievous than harmful, replied Merla, but I do not care much for them myself.|They are more mischievous than harmful, replied Merla, but I do not care much for them myself.
the_sea_fairies_06_f000156|No, added Captain Bill, they ain't respec'ful.|No, added Captain Bill, they ain't respec'ful.
the_sea_fairies_07_f000001|CHAPTER 7 THE ARISTOCRATIC CODFISH.|CHAPTER seven THE ARISTOCRATIC CODFISH.
the_sea_fairies_07_f000002|The three swam slowly along, quite enjoying the cool depths of the water.|The three swam slowly along, quite enjoying the cool depths of the water.
the_sea_fairies_07_f000003|Every little while they met with some strange creatureor one that seemed strange to the earth peoplefor although Trot and Captain Bill had seen many kinds of fish,|Every little while they met with some strange creatureor one that seemed strange to the earth peoplefor although Trot and Captain Bill had seen many kinds of fish,
the_sea_fairies_07_f000004|after they had been caught and pulled from the water, that was very different from meeting them in their own element,|after they had been caught and pulled from the water, that was very different from meeting them in their own element,
the_sea_fairies_07_f000005|face to face, as Trot expressed it.|face to face, as Trot expressed it.
the_sea_fairies_07_f000006|Now that the various fishes were swimming around free and unafraid in their deep-sea home, they were quite different from the gasping,|Now that the various fishes were swimming around free and unafraid in their deep-sea home, they were quite different from the gasping,
the_sea_fairies_07_f000007|excited creatures struggling at the end of a fishline or flopping from a net.|excited creatures struggling at the end of a fishline or flopping from a net.
the_sea_fairies_07_f000008|Before long they came upon a group of large fishes lying lazily near the bottom of the sea.|Before long they came upon a group of large fishes lying lazily near the bottom of the sea.
the_sea_fairies_07_f000009|They were a dark color upon their backs and silver underneath, but not especially pretty to look at.|They were a dark color upon their backs and silver underneath, but not especially pretty to look at.
the_sea_fairies_07_f000010|The fishes made no effort to get out of Merla's way and remained motionless except for the gentle motion of their fins and gills.|The fishes made no effort to get out of Merla's way and remained motionless except for the gentle motion of their fins and gills.
the_sea_fairies_07_f000011|Here, said the mermaid, pausing, is the most aristocratic family of fish in all the sea.|Here, said the mermaid, pausing, is the most aristocratic family of fish in all the sea.
the_sea_fairies_07_f000012|What are they? asked the girl.|What are they? asked the girl.
the_sea_fairies_07_f000013|Codfish, was the reply.|Codfish, was the reply.
the_sea_fairies_07_f000014|Their only fault is that they are too haughty and foolishly proud of their pedigree.|Their only fault is that they are too haughty and foolishly proud of their pedigree.
the_sea_fairies_07_f000015|Overhearing this speech, one codfish said to another in a very dignified tone of voice, What insolence!|Overhearing this speech, one codfish said to another in a very dignified tone of voice, What insolence!
the_sea_fairies_07_f000016|Isn't it? replied the other.|Isn't it? replied the other.
the_sea_fairies_07_f000017|There ought to be a law to prevent these common mermaids from discussing their superiors.|There ought to be a law to prevent these common mermaids from discussing their superiors.
the_sea_fairies_07_f000018|My sakes! said Trot, astonished.|My sakes! said Trot, astonished.
the_sea_fairies_07_f000019|How stuck up they are, aren't they?|How stuck up they are, aren't they?
the_sea_fairies_07_f000020|For a moment the group of fishes stared at her solemnly.|For a moment the group of fishes stared at her solemnly.
the_sea_fairies_07_f000021|Then one of the remarked in a disdainful manner, Come, my dear, let us leave these vulgar creatures.|Then one of the remarked in a disdainful manner, Come, my dear, let us leave these vulgar creatures.
the_sea_fairies_07_f000022|I'm not as vulgar as you are!|I'm not as vulgar as you are!
the_sea_fairies_07_f000023|exclaimed Trot, much offended by this speech.|exclaimed Trot, much offended by this speech.
the_sea_fairies_07_f000024|Where I come from, we only eat codfish when there's nothing else in the house to eat.|Where I come from, we only eat codfish when there's nothing else in the house to eat.
the_sea_fairies_07_f000025|How absurd!|How absurd!
the_sea_fairies_07_f000026|observed one of the creatures arrogantly.|observed one of the creatures arrogantly.
the_sea_fairies_07_f000027|Eat codfish indeed! said another in a lofty manner.|Eat codfish indeed! said another in a lofty manner.
the_sea_fairies_07_f000028|Yes, and you're pretty salty, too, I can tell you.|Yes, and you're pretty salty, too, I can tell you.
the_sea_fairies_07_f000029|At home you're nothing but a pick-up! said Trot.|At home you're nothing but a pick-up! said Trot.
the_sea_fairies_07_f000030|Dear me!|Dear me!
the_sea_fairies_07_f000031|exclaimed the first fish who had spoken.|exclaimed the first fish who had spoken.
the_sea_fairies_07_f000032|Must we stand this insulting languageand from a person to whom we have never been introduced?|Must we stand this insulting languageand from a person to whom we have never been introduced?
the_sea_fairies_07_f000033|I don't need no interduction, replied the girl.|I don't need no interduction, replied the girl.
the_sea_fairies_07_f000034|I've eaten you, and you always make me thirsty.|I've eaten you, and you always make me thirsty.
the_sea_fairies_07_f000035|Merla laughed merrily at this, and the codfish said, with much dignity, Come, fellow aristocrats, let us go.|Merla laughed merrily at this, and the codfish said, with much dignity, Come, fellow aristocrats, let us go.
the_sea_fairies_07_f000036|Never mind, we're going ourselves, announced Merla, and followed by her guests the pretty mermaid swam away.|Never mind, we're going ourselves, announced Merla, and followed by her guests the pretty mermaid swam away.
the_sea_fairies_07_f000037|I've heard tell of codfish aristocracy, said Captain Bill, but I never knowed 'zac'ly what it meant afore.|I've heard tell of codfish aristocracy, said Captain Bill, but I never knowed 'zac'ly what it meant afore.
the_sea_fairies_07_f000038|They jus' made me mad with all their airs, observed Trot, so I gave them a piece of my mind.|They jus' made me mad with all their airs, observed Trot, so I gave them a piece of my mind.
the_sea_fairies_07_f000039|You surely did, mate, said the sailor, but I ain't sure they understand what they're like when they're salted and hung up in the pantry.|You surely did, mate, said the sailor, but I ain't sure they understand what they're like when they're salted and hung up in the pantry.
the_sea_fairies_07_f000040|Folks gener'ly gets stuck-up because they don't know theirselves like other folks knows them.|Folks gener'ly gets stuck-up because they don't know theirselves like other folks knows them.
the_sea_fairies_07_f000041|We are near Crabville now, declared Merla.|We are near Crabville now, declared Merla.
the_sea_fairies_07_f000042|Shall we visit the crabs and see what they are doing?|Shall we visit the crabs and see what they are doing?
the_sea_fairies_07_f000043|Yes, let's, replied Trot.|Yes, let's, replied Trot.
the_sea_fairies_07_f000044|The crabs are lots of fun.|The crabs are lots of fun.
the_sea_fairies_07_f000045|I've often caught them among the rocks on the shore and laughed at the way they act.|I've often caught them among the rocks on the shore and laughed at the way they act.
the_sea_fairies_07_f000046|Wasn't it funny at dinnertime to see the way they slid around with the plates?|Wasn't it funny at dinnertime to see the way they slid around with the plates?
the_sea_fairies_07_f000047|Those were not crabs, but lobsters and crawfish, remarked the mermaid.|Those were not crabs, but lobsters and crawfish, remarked the mermaid.
the_sea_fairies_07_f000048|They are very intelligent creatures, and by making them serve us we save ourselves much household work.|They are very intelligent creatures, and by making them serve us we save ourselves much household work.
the_sea_fairies_07_f000049|Of course, they are awkward and provoke us sometimes, but no servants are perfect, it is said, so we get along with ours as well as we can.|Of course, they are awkward and provoke us sometimes, but no servants are perfect, it is said, so we get along with ours as well as we can.
the_sea_fairies_07_f000050|They're all right, protested the child, even if they did tip things over once in a while.|They're all right, protested the child, even if they did tip things over once in a while.
the_sea_fairies_07_f000051|But it is easy to work in a sea palace, I'm sure, because there's no dusting or sweeping to be done.|But it is easy to work in a sea palace, I'm sure, because there's no dusting or sweeping to be done.
the_sea_fairies_07_f000052|Or scrubbin', added Captain Bill.|Or scrubbin', added Captain Bill.
the_sea_fairies_07_f000053|The crabs, said Merla, are second cousins to the lobsters, although much smaller in size.|The crabs, said Merla, are second cousins to the lobsters, although much smaller in size.
the_sea_fairies_07_f000054|There are many families or varieties of crabs, and so many of them live in one place near here that we call it Crabville.|There are many families or varieties of crabs, and so many of them live in one place near here that we call it Crabville.
the_sea_fairies_07_f000055|I think you will enjoy seeing these little creatures in their native haunts.|I think you will enjoy seeing these little creatures in their native haunts.
the_sea_fairies_07_f000056|They now approached a kelp bed, the straight, thin stems of the kelp running far upward to the surface of the water.|They now approached a kelp bed, the straight, thin stems of the kelp running far upward to the surface of the water.
the_sea_fairies_07_f000057|Here and there upon the stalks were leaves, but Trot thought the growing kelp looked much like sticks of macaroni, except they were a rich red-brown color.|Here and there upon the stalks were leaves, but Trot thought the growing kelp looked much like sticks of macaroni, except they were a rich red-brown color.
the_sea_fairies_07_f000058|It was beyond the kelpwhich they had to push aside as they swam through, so thickly did it growthat they came to a higher level, a sort of plateau on the oceands bottom.|It was beyond the kelpwhich they had to push aside as they swam through, so thickly did it growthat they came to a higher level, a sort of plateau on the oceands bottom.
the_sea_fairies_07_f000059|It was covered with scattered rocks of all sizes, which appeared to have broken off from big shelving rocks they observed nearby.|It was covered with scattered rocks of all sizes, which appeared to have broken off from big shelving rocks they observed nearby.
the_sea_fairies_07_f000060|The place they entered seemed like one of the rocky canyons you often see upon the earth.|The place they entered seemed like one of the rocky canyons you often see upon the earth.
the_sea_fairies_07_f000061|Here live the fiddler crabs, said Merla, but we must have taken them by surprise, it is so quiet.|Here live the fiddler crabs, said Merla, but we must have taken them by surprise, it is so quiet.
the_sea_fairies_07_f000062|Even as she spoke, there was a stirring and scrambling among the rocks, and soon scores of light-green crabs were gathered before the visitors.|Even as she spoke, there was a stirring and scrambling among the rocks, and soon scores of light-green crabs were gathered before the visitors.
the_sea_fairies_07_f000063|The crabs bore fiddles of all sorts and shapes in their claws, and one big fellow carried a leader's baton.|The crabs bore fiddles of all sorts and shapes in their claws, and one big fellow carried a leader's baton.
the_sea_fairies_07_f000064|The latter crab climbed upon a flat rock and in an excited voice called out, Ready, nowready, good fiddlers.|The latter crab climbed upon a flat rock and in an excited voice called out, Ready, nowready, good fiddlers.
the_sea_fairies_07_f000065|We'll play Number 19, Hail to the Mermaids.|We'll play Number nineteen, Hail to the Mermaids.
the_sea_fairies_07_f000066|Ready!|Ready!
the_sea_fairies_07_f000067|Take aim!|Take aim!
the_sea_fairies_07_f000068|Fire away!|Fire away!
the_sea_fairies_07_f000069|At this command every crab began scraping at his fiddle as hard as he could, and the sounds were so shrill and unmusical that Trot wondered when they would begin to play a tune.|At this command every crab began scraping at his fiddle as hard as he could, and the sounds were so shrill and unmusical that Trot wondered when they would begin to play a tune.
the_sea_fairies_07_f000070|But they never did; it was one regular mix-up of sounds from beginning to end.|But they never did; it was one regular mix-up of sounds from beginning to end.
the_sea_fairies_07_f000071|When the noise finally stopped, the leader turned to his visitors and, waving his baton toward them, asked, Well, what did you think of that?|When the noise finally stopped, the leader turned to his visitors and, waving his baton toward them, asked, Well, what did you think of that?
the_sea_fairies_07_f000072|Not much, said Trot honestly.|Not much, said Trot honestly.
the_sea_fairies_07_f000073|What's it all about?|What's it all about?
the_sea_fairies_07_f000074|I composed it myself! said the Fiddler Crab.|I composed it myself! said the Fiddler Crab.
the_sea_fairies_07_f000075|But it's highly classical, I admit.|But it's highly classical, I admit.
the_sea_fairies_07_f000076|All really great music is an acquired taste.|All really great music is an acquired taste.
the_sea_fairies_07_f000077|I don't like it, remarked Captain Bill.|I don't like it, remarked Captain Bill.
the_sea_fairies_07_f000078|It might do all right to stir up a racket New Year's Eve, but to call that screechin' music Just then the crabs started fiddling again, harder than ever,|It might do all right to stir up a racket New Year's Eve, but to call that screechin' music Just then the crabs started fiddling again, harder than ever,
the_sea_fairies_07_f000079|and as it promised to be a long performance, they left the little creatures scraping away at their fiddles as if for dear life and swam along the rocky canyon until,|and as it promised to be a long performance, they left the little creatures scraping away at their fiddles as if for dear life and swam along the rocky canyon until,
the_sea_fairies_07_f000080|on turning a corner, they came upon a new and different scene.|on turning a corner, they came upon a new and different scene.
the_sea_fairies_07_f000081|There were crabs here, too, many of them, and they were performing the queerest antics imaginable.|There were crabs here, too, many of them, and they were performing the queerest antics imaginable.
the_sea_fairies_07_f000082|Some were building themselves into a pyramid, each standing on edge, with the biggest and strongest ones at the bottom.|Some were building themselves into a pyramid, each standing on edge, with the biggest and strongest ones at the bottom.
the_sea_fairies_07_f000083|When the crabs were five or six rows high, they would all tumble over, still clinging to one another and, having reached the ground, they would separate and commence to build the pyramid over again.|When the crabs were five or six rows high, they would all tumble over, still clinging to one another and, having reached the ground, they would separate and commence to build the pyramid over again.
the_sea_fairies_07_f000084|Others were chasing one another around in a circle, always moving backward or sidewise, and trying to play leapfrog as they went.|Others were chasing one another around in a circle, always moving backward or sidewise, and trying to play leapfrog as they went.
the_sea_fairies_07_f000085|Still others were swinging on slight branches of seaweed or turning cartwheels or indulging in similar antics.|Still others were swinging on slight branches of seaweed or turning cartwheels or indulging in similar antics.
the_sea_fairies_07_f000086|Merla and the earth people watched the busy little creatures for some time before they were themselves observed,|Merla and the earth people watched the busy little creatures for some time before they were themselves observed,
the_sea_fairies_07_f000087|but finally Trot gave a laugh when one crab fell on its back and began frantically waving its legs to get right-side-up again.|but finally Trot gave a laugh when one crab fell on its back and began frantically waving its legs to get right-side-up again.
the_sea_fairies_07_f000088|At the sound of her laughter they all stopped their play and came toward the visitors in a flock, looking up at them with their bright eyes in a most comical way.|At the sound of her laughter they all stopped their play and came toward the visitors in a flock, looking up at them with their bright eyes in a most comical way.
the_sea_fairies_07_f000089|Welcome home! cried one as he turned a back somersault and knocked another crab over.|Welcome home! cried one as he turned a back somersault and knocked another crab over.
the_sea_fairies_07_f000090|What's the difference between a mermaid and a tadpole? asked another in a loud voice, and without a pause continued, Why, one drops its tail and the other holds onto it.|What's the difference between a mermaid and a tadpole? asked another in a loud voice, and without a pause continued, Why, one drops its tail and the other holds onto it.
the_sea_fairies_07_f000091|Ha, ha!|Ha, ha!
the_sea_fairies_07_f000092|Ho, ho!|Ho, ho!
the_sea_fairies_07_f000093|Hee, hee!|Hee, hee!
the_sea_fairies_07_f000094|These, said Merla, are the clown crabs.|These, said Merla, are the clown crabs.
the_sea_fairies_07_f000095|They are very silly things, as you may already have discovered, but for a short time they are rather amusing.|They are very silly things, as you may already have discovered, but for a short time they are rather amusing.
the_sea_fairies_07_f000096|One tires of them very soon.|One tires of them very soon.
the_sea_fairies_07_f000097|They're funny, said Trot, laughing again.|They're funny, said Trot, laughing again.
the_sea_fairies_07_f000098|It's almost as good as a circus.|It's almost as good as a circus.
the_sea_fairies_07_f000099|I don't think they would make me tired, but then I'm not a mermaid.|I don't think they would make me tired, but then I'm not a mermaid.
the_sea_fairies_07_f000100|The clown crabs had now formed a row in front of them.|The clown crabs had now formed a row in front of them.
the_sea_fairies_07_f000101|Mr. Johnsing, asked one, why is a mermaid like an automobile?|Mr. Johnsing, asked one, why is a mermaid like an automobile?
the_sea_fairies_07_f000102|I don't know, Tommy Blimken, answered a big crab in the middle of the row.|I don't know, Tommy Blimken, answered a big crab in the middle of the row.
the_sea_fairies_07_f000103|WHY do you think a mermaid is like an automobile?|WHY do you think a mermaid is like an automobile?
