poisoned_pen_01_f000001|THE POISONED PEN.|THE POISONED PEN.
poisoned_pen_03_f000084|A pocketbook and a letter fell to the floor from the folds of the dress. He stooped to pick them up, and I saw a strange look of surprise on his face.|A pocketbook and a letter fell to the floor from the folds of the dress. He stooped to pick them up, and I saw a strange look of surprise on his face.
poisoned_pen_03_f000085|Without a moment's hesitation he shoved the letter into his pocket and replaced the other things as he had found them.|Without a moment's hesitation he shoved the letter into his pocket and replaced the other things as he had found them.
poisoned_pen_03_f000086|A moment later Kazanovitch returned with a large box of Russian cigarettes. Be seated, sir, he said to Kennedy, sweeping a mass of books and papers off a large divan.|A moment later Kazanovitch returned with a large box of Russian cigarettes. Be seated, sir, he said to Kennedy, sweeping a mass of books and papers off a large divan.
poisoned_pen_03_f000087|When Nevsky is not here the room gets sadly disarranged. I have no genius for order.|When Nevsky is not here the room gets sadly disarranged. I have no genius for order.
poisoned_pen_03_f000088|Amid the clouds of fragrant light smoke we waited for Kazanovitch to break the silence.|Amid the clouds of fragrant light smoke we waited for Kazanovitch to break the silence.
poisoned_pen_03_f000089|Perhaps you think that the iron hand of the Russian prime minister has broken the backbone of revolution in Russia, he began at length.|Perhaps you think that the iron hand of the Russian prime minister has broken the backbone of revolution in Russia, he began at length.
poisoned_pen_03_f000090|But because the Duma is subservient, it does not mean that all is over. Not at all. We are not asleep. Revolution is smouldering, ready to break forth at any moment.|But because the Duma is subservient, it does not mean that all is over. Not at all. We are not asleep. Revolution is smouldering, ready to break forth at any moment.
poisoned_pen_03_f000091|The agents of the government know it. They are desperate. There is no means they would not use to crush us. Their long arm reaches even to New York, in this land of freedom.|The agents of the government know it. They are desperate. There is no means they would not use to crush us. Their long arm reaches even to New York, in this land of freedom.
poisoned_pen_03_f000092|He rose and excitedly paced the room. Somehow or other, this man did not prepossess me. Was it that I was prejudiced by a puritanical disapproval of the things that pass current in Old World morality?|He rose and excitedly paced the room. Somehow or other, this man did not prepossess me. Was it that I was prejudiced by a puritanical disapproval of the things that pass current in Old World morality?
poisoned_pen_03_f000093|Or was it merely that I found the great writer of fiction seeking the dramatic effect always at the cost of sincerity?|Or was it merely that I found the great writer of fiction seeking the dramatic effect always at the cost of sincerity?
poisoned_pen_03_f000094|Just what is it that you suspect? asked Craig, anxious to dispense with the rhetoric and to get down to facts. Surely, when three persons are stricken, you must suspect something.|Just what is it that you suspect? asked Craig, anxious to dispense with the rhetoric and to get down to facts. Surely, when three persons are stricken, you must suspect something.
poisoned_pen_03_f000095|Poison, replied Kazanovitch quickly. Poison, and of a kind that even the poison doctors of St. Petersburg have never employed. doctor|Poison, replied Kazanovitch quickly. Poison, and of a kind that even the poison doctors of St. Petersburg have never employed. doctor
poisoned_pen_03_f000096|Kharkoff is completely baffled. Your American doctors - two were called in to see Saratovsky - say it is the typhus fever.|Kharkoff is completely baffled. Your American doctors - two were called in to see Saratovsky - say it is the typhus fever.
poisoned_pen_03_f000097|Kharkoff knows better. There is no typhus rash. Besides - and he leaned forward to emphasise his words - one does not get over typhus in a week and have it again as Saratovsky has.|Kharkoff knows better. There is no typhus rash. Besides - and he leaned forward to emphasise his words - one does not get over typhus in a week and have it again as Saratovsky has.
poisoned_pen_03_f000098|I could see that Kennedy was growing impatient. An idea had occurred to him, and only politeness kept him listening to Kazanovitch longer.|I could see that Kennedy was growing impatient. An idea had occurred to him, and only politeness kept him listening to Kazanovitch longer.
poisoned_pen_03_f000099|Doctor, he said, as Kharkoff entered the room again, do you suppose you could get some perfectly clean test-tubes and sterile bouillon from Miss Nevsky's laboratory?|Doctor, he said, as Kharkoff entered the room again, do you suppose you could get some perfectly clean test-tubes and sterile bouillon from Miss Nevsky's laboratory?
poisoned_pen_03_f000100|I think I saw a rack of tubes on the table.|I think I saw a rack of tubes on the table.
poisoned_pen_03_f000101|Surely, answered Kharkoff.|Surely, answered Kharkoff.
poisoned_pen_03_f000102|You will excuse us, mister Kazanovitch, apologised Kennedy briskly, but I feel that I am going to have a hard day to-morrow and - by the way,|You will excuse us, mister Kazanovitch, apologised Kennedy briskly, but I feel that I am going to have a hard day to-morrow and - by the way,
poisoned_pen_03_f000103|would you be so kind as to come up to my laboratory some time during the day, and continue your story.|would you be so kind as to come up to my laboratory some time during the day, and continue your story.
poisoned_pen_03_f000104|On the way out Craig took the doctor aside for a moment, and they talked earnestly. At last Craig motioned to me.|On the way out Craig took the doctor aside for a moment, and they talked earnestly. At last Craig motioned to me.
poisoned_pen_03_f000105|Walter, he explained, doctor Kharkoff is going to prepare some cultures in the test-tubes to-night so that I can make a microscopic examination of the blood of Saratovsky,|Walter, he explained, doctor Kharkoff is going to prepare some cultures in the test-tubes to-night so that I can make a microscopic examination of the blood of Saratovsky,
poisoned_pen_03_f000106|Samarova, and later of his servant.|Samarova, and later of his servant.
poisoned_pen_03_f000107|The tubes will be ready early in the morning, and I have arranged with the doctor for you to call and get them if you have no objection.|The tubes will be ready early in the morning, and I have arranged with the doctor for you to call and get them if you have no objection.
poisoned_pen_03_f000108|I assented, and we started downstairs. As we passed a door on the second floor, a woman's voice called out, Is that you, Boris?|I assented, and we started downstairs. As we passed a door on the second floor, a woman's voice called out, Is that you, Boris?
poisoned_pen_03_f000109|No, Olga, this is Nicholas, replied the doctor. It is Samarova, he said to us as he entered.|No, Olga, this is Nicholas, replied the doctor. It is Samarova, he said to us as he entered.
poisoned_pen_03_f000110|In a few moments he rejoined us. She is no better, he continued, as we again started away. I may as well tell you, Professor Kennedy, just how matters stand here.|In a few moments he rejoined us. She is no better, he continued, as we again started away. I may as well tell you, Professor Kennedy, just how matters stand here.
poisoned_pen_03_f000111|Samarova is head over heels in love with Kazanovitch - you heard her call for him just now?|Samarova is head over heels in love with Kazanovitch - you heard her call for him just now?
poisoned_pen_03_f000112|Before they left Paris, Kazanovitch showed some partiality for Olga, but now Nevsky has captured him. She is indeed a fascinating woman, but as for me,|Before they left Paris, Kazanovitch showed some partiality for Olga, but now Nevsky has captured him. She is indeed a fascinating woman, but as for me,
poisoned_pen_03_f000113|if Olga would consent to become Madame Kharkoff, it should be done to-morrow, and she need worry no longer over her broken contract with the American theatre managers.|if Olga would consent to become Madame Kharkoff, it should be done to-morrow, and she need worry no longer over her broken contract with the American theatre managers.
poisoned_pen_03_f000114|But women are not that way. She prefers the hopeless love. Ah, well, I shall let you know if anything new happens. Good-night, and a thousand thanks for your help, gentlemen.|But women are not that way. She prefers the hopeless love. Ah, well, I shall let you know if anything new happens. Good-night, and a thousand thanks for your help, gentlemen.
poisoned_pen_03_f000115|Nothing was said by either of us on our journey uptown, for it was late and I, at least, was tired.|Nothing was said by either of us on our journey uptown, for it was late and I, at least, was tired.
poisoned_pen_03_f000116|But Kennedy had no intention of going to bed, I found. Instead, he sat down in his easy chair and shaded his eyes, apparently in deep thought.|But Kennedy had no intention of going to bed, I found. Instead, he sat down in his easy chair and shaded his eyes, apparently in deep thought.
poisoned_pen_03_f000117|As I stood by the table to fill my pipe for a last smoke, I saw that he was carefully regarding the letter he had picked up, turning it over and over,|As I stood by the table to fill my pipe for a last smoke, I saw that he was carefully regarding the letter he had picked up, turning it over and over,
poisoned_pen_03_f000118|and apparently debating with himself what to do with it.|and apparently debating with himself what to do with it.
poisoned_pen_03_f000119|Some kinds of paper can be steamed open without leaving any trace, he remarked in answer to my unspoken question, laying the letter down before me.|Some kinds of paper can be steamed open without leaving any trace, he remarked in answer to my unspoken question, laying the letter down before me.
poisoned_pen_03_f000120|I read the address: M. Alexander Alexandrovitch Orloff, - Rue de - , Paris, France.|I read the address: M. Alexander Alexandrovitch Orloff, - Rue de - , Paris, France.
poisoned_pen_03_f000121|Letter-opening has been raised to a fine art by the secret service agents of foreign countries, he continued. Why not take a chance?|Letter-opening has been raised to a fine art by the secret service agents of foreign countries, he continued. Why not take a chance?
poisoned_pen_03_f000122|The simple operation of steaming a letter open is followed by reburnishing the flap with a bone instrument, and no trace is left.|The simple operation of steaming a letter open is followed by reburnishing the flap with a bone instrument, and no trace is left.
poisoned_pen_03_f000123|I can't do that, for this letter is sealed with wax. One way would be to take a matrix of the seal before breaking the wax and then replace a duplicate of it.|I can't do that, for this letter is sealed with wax. One way would be to take a matrix of the seal before breaking the wax and then replace a duplicate of it.
poisoned_pen_03_f000124|No, I won't risk it. I'll try a scientific way.|No, I won't risk it. I'll try a scientific way.
poisoned_pen_03_f000125|Between two pieces of smooth wood, Craig laid the letter flat, so that the edges projected about a thirty-second of an inch.|Between two pieces of smooth wood, Craig laid the letter flat, so that the edges projected about a thirty-second of an inch.
poisoned_pen_03_f000126|He flattened the projecting edge of the envelope, then roughened it, and finally slit it open.|He flattened the projecting edge of the envelope, then roughened it, and finally slit it open.
poisoned_pen_03_f000127|You see, Walter, later I will place the letter back, apply a hair line of strong white gum, and unite the edges of the envelope under pressure. Let us see what we have here.|You see, Walter, later I will place the letter back, apply a hair line of strong white gum, and unite the edges of the envelope under pressure. Let us see what we have here.
poisoned_pen_03_f000128|He drew out what seemed to be a manuscript on very thin paper, and spread it out flat on the table before us. Apparently it was a scientific paper on a rather unusual subject,|He drew out what seemed to be a manuscript on very thin paper, and spread it out flat on the table before us. Apparently it was a scientific paper on a rather unusual subject,
poisoned_pen_03_f000129|Spontaneous Generation of Life.|Spontaneous Generation of Life.
poisoned_pen_03_f000130|It was in longhand and read: Many thanks for the copy of the paper by Prof. Betallion of Dijon on the artificial fertilization of the eggs of frogs.|It was in longhand and read: Many thanks for the copy of the paper by Prof. Betallion of Dijon on the artificial fertilization of the eggs of frogs.
poisoned_pen_03_f000131|I consider it a most important advance in the artificial generation of life.|I consider it a most important advance in the artificial generation of life.
poisoned_pen_03_f000132|I will not attempt to reproduce in facsimile the entire manuscript, for it is unnecessary, and, in fact, I merely set down part of its contents here because it seemed so utterly valueless to me at the time.|I will not attempt to reproduce in facsimile the entire manuscript, for it is unnecessary, and, in fact, I merely set down part of its contents here because it seemed so utterly valueless to me at the time.
poisoned_pen_03_f000133|It went on to say: While Betallion punctured the eggs with a platinum needle and developed them by means of electric discharges, Loeb in America placed eggs of the sea-urchin in a strong solution of sea water,|It went on to say: While Betallion punctured the eggs with a platinum needle and developed them by means of electric discharges, Loeb in America placed eggs of the sea-urchin in a strong solution of sea water,
poisoned_pen_03_f000134|then in a bath where they were subjected to the action of butyric acid. Finally they were placed in ordinary sea water again, where they developed in the natural manner.|then in a bath where they were subjected to the action of butyric acid. Finally they were placed in ordinary sea water again, where they developed in the natural manner.
poisoned_pen_03_f000135|Delage at Roscorf used a liquid containing salts of magnesia and tannate of ammonia to produce the same result.|Delage at Roscorf used a liquid containing salts of magnesia and tannate of ammonia to produce the same result.
poisoned_pen_03_f000136|In his latest book on the Origin of Life doctor Charlton Bastian tells of using two solutions.|In his latest book on the Origin of Life doctor Charlton Bastian tells of using two solutions.
poisoned_pen_03_f000137|One consisted of two or three drops of dilute sodium silicate with eight drops of liquor fern pernitratis to one ounce of distilled water.|One consisted of two or three drops of dilute sodium silicate with eight drops of liquor fern pernitratis to one ounce of distilled water.
poisoned_pen_03_f000138|The other was composed of the same amount of the silicate with six drops of dilute phosphoric acid and six grains of ammonium phosphate.|The other was composed of the same amount of the silicate with six drops of dilute phosphoric acid and six grains of ammonium phosphate.
poisoned_pen_03_f000139|He filled sterilised tubes, sealed them hermetically, and heated them to 125 or 145 degrees, Centigrade, although 60 or 70 degrees would have killed any bacteria remaining in them.|He filled sterilised tubes, sealed them hermetically, and heated them to one hundred twenty-five or one hundred forty-five degrees, Centigrade, although sixty or seventy degrees would have killed any bacteria remaining in them.
poisoned_pen_03_f000140|Next he exposed them to sunlight in a south window for from two to four months. When the tubes were opened doctor Bastian found organisms in them which differed in no way from real bacteria.|Next he exposed them to sunlight in a south window for from two to four months. When the tubes were opened doctor Bastian found organisms in them which differed in no way from real bacteria.
poisoned_pen_03_f000141|They grew and multiplied. He contends that he has proved the possibility of spontaneous generation of life.|They grew and multiplied. He contends that he has proved the possibility of spontaneous generation of life.
poisoned_pen_03_f000142|Then there were the experiments of John Butler Burke of Cambridge, who claimed that he had developed radiobes in tubes of sterilised bouillon by means of radium emanations.|Then there were the experiments of John Butler Burke of Cambridge, who claimed that he had developed radiobes in tubes of sterilised bouillon by means of radium emanations.
poisoned_pen_03_f000143|Daniel Berthelot in France last year announced that he had used the ultra-violet rays to duplicate nature's own process of chlorophyll assimilation.|Daniel Berthelot in France last year announced that he had used the ultra-violet rays to duplicate nature's own process of chlorophyll assimilation.
poisoned_pen_03_f000144|He has broken up carbon dioxide and water-vapour in the air in precisely the same way that the green cells of plants do it.|He has broken up carbon dioxide and water-vapour in the air in precisely the same way that the green cells of plants do it.
poisoned_pen_03_f000145|Leduc at Nantes has made crystals grow from an artificial egg composed of certain chemicals. These crystals show all the apparent vital phenomena without being actually alive.|Leduc at Nantes has made crystals grow from an artificial egg composed of certain chemicals. These crystals show all the apparent vital phenomena without being actually alive.
poisoned_pen_03_f000146|His work is interesting, for it shows the physical forces that probably control minute life cells, once they are created.|His work is interesting, for it shows the physical forces that probably control minute life cells, once they are created.
poisoned_pen_03_f000147|What do you make of it? asked Kennedy, noting the puzzled look on my face as I finished reading.|What do you make of it? asked Kennedy, noting the puzzled look on my face as I finished reading.
poisoned_pen_03_f000148|Well, recent research in the problem of the origin of life may be very interesting, I replied. There are a good many chemicals mentioned here - I wonder if any of them is poisonous?|Well, recent research in the problem of the origin of life may be very interesting, I replied. There are a good many chemicals mentioned here - I wonder if any of them is poisonous?
poisoned_pen_03_f000149|But I am of the opinion that there is something more to this manuscript than a mere scientific paper.|But I am of the opinion that there is something more to this manuscript than a mere scientific paper.
poisoned_pen_03_f000150|Exactly, Walter, said Kennedy in half raillery. What I wanted to know was how you would suggest getting at that something.|Exactly, Walter, said Kennedy in half raillery. What I wanted to know was how you would suggest getting at that something.
poisoned_pen_03_f000151|Study as I might, I could make nothing out of it. Meanwhile Craig was busily figuring with a piece of paper and a pencil.|Study as I might, I could make nothing out of it. Meanwhile Craig was busily figuring with a piece of paper and a pencil.
poisoned_pen_03_f000152|I give it up, Craig, I said at last. It is late. Perhaps we had better both turn in, and we may have some ideas on it in the morning.|I give it up, Craig, I said at last. It is late. Perhaps we had better both turn in, and we may have some ideas on it in the morning.
poisoned_pen_03_f000153|For answer he merely shook his head and continued to scribble and figure on the paper. With a reluctant good-night I shut my door, determined to be up early in the morning and go for the tubes that Kharkoff was to prepare.|For answer he merely shook his head and continued to scribble and figure on the paper. With a reluctant good-night I shut my door, determined to be up early in the morning and go for the tubes that Kharkoff was to prepare.
poisoned_pen_03_f000154|But in the morning Kennedy was gone. I dressed hastily, and was just about to go out when he hurried in, showing plainly the effects of having spent a sleepless night.|But in the morning Kennedy was gone. I dressed hastily, and was just about to go out when he hurried in, showing plainly the effects of having spent a sleepless night.
poisoned_pen_03_f000155|He flung an early edition of a newspaper on the table.|He flung an early edition of a newspaper on the table.
poisoned_pen_03_f000156|Too late, he exclaimed. I tried to reach Kharkoff, but it was too late.|Too late, he exclaimed. I tried to reach Kharkoff, but it was too late.
poisoned_pen_03_f000157|Another East Side Bomb Outrage, I read. While returning at a late hour last night from a patient, doctor Nicholas Kharkoff, of - East Broadway,|Another East Side Bomb Outrage, I read. While returning at a late hour last night from a patient, doctor Nicholas Kharkoff, of - East Broadway,
poisoned_pen_03_f000158|was severely injured by a bomb which had been placed in his hallway earlier in the evening.|was severely injured by a bomb which had been placed in his hallway earlier in the evening.
poisoned_pen_03_f000159|doctor Kharkoff, who is a well-known physician on the East Side, states that he has been constantly shadowed by some one unknown for the past week or two.|doctor Kharkoff, who is a well-known physician on the East Side, states that he has been constantly shadowed by some one unknown for the past week or two.
poisoned_pen_03_f000160|He attributes his escape with his life to the fact that since he was shadowed he has observed extreme caution. Yesterday his cook was poisoned and is now dangerously ill.|He attributes his escape with his life to the fact that since he was shadowed he has observed extreme caution. Yesterday his cook was poisoned and is now dangerously ill.
poisoned_pen_03_f000161|doctor Kharkoff stands high in the Russian community, and it is thought by the police that the bomb was placed by a Russian political agent, as Kharkoff has been active in the ranks of the revolutionists.|doctor Kharkoff stands high in the Russian community, and it is thought by the police that the bomb was placed by a Russian political agent, as Kharkoff has been active in the ranks of the revolutionists.
poisoned_pen_03_f000162|But what made you anticipate it? I asked of Kennedy, considerably mystified.|But what made you anticipate it? I asked of Kennedy, considerably mystified.
poisoned_pen_03_f000163|The manuscript, he replied.|The manuscript, he replied.
poisoned_pen_03_f000164|The manuscript? How? Where is it?|The manuscript? How? Where is it?
poisoned_pen_03_f000165|After I found that it was too late to save Kharkoff and that he was well cared for at the hospital, I hurried to Saratovsky's.|After I found that it was too late to save Kharkoff and that he was well cared for at the hospital, I hurried to Saratovsky's.
poisoned_pen_03_f000166|Kharkoff had fortunately left the tubes there, and I got them. Here they are. As for the manuscript in the letter, I was going to ask you to slip upstairs by some strategy and return it where I found it,|Kharkoff had fortunately left the tubes there, and I got them. Here they are. As for the manuscript in the letter, I was going to ask you to slip upstairs by some strategy and return it where I found it,
poisoned_pen_03_f000167|when you went for the tubes this morning.|when you went for the tubes this morning.
poisoned_pen_03_f000168|Kazanovitch was out, and I have returned it myself, so you need not go, now.|Kazanovitch was out, and I have returned it myself, so you need not go, now.
poisoned_pen_03_f000169|He's coming to see you to-day, isn't he?|He's coming to see you to-day, isn't he?
poisoned_pen_03_f000170|I hope so. I left a note asking him to bring Miss Nevsky, if possible, too. Come, let us breakfast and go over to the laboratory.|I hope so. I left a note asking him to bring Miss Nevsky, if possible, too. Come, let us breakfast and go over to the laboratory.
poisoned_pen_03_f000171|They may arrive at any moment. Besides, I'm interested to see what the tubes disclose.|They may arrive at any moment. Besides, I'm interested to see what the tubes disclose.
poisoned_pen_03_f000172|Instead of Kazanovitch awaiting us at the laboratory, however, we found Miss Nevsky, haggard and worn. She was a tall, striking girl with more of the Gaul than the Slav in her appearance.|Instead of Kazanovitch awaiting us at the laboratory, however, we found Miss Nevsky, haggard and worn. She was a tall, striking girl with more of the Gaul than the Slav in her appearance.
poisoned_pen_03_f000173|There was a slightly sensuous curve to her mouth, but on the whole her face was striking and intellectual. I felt that if she chose she could fascinate a man so that he would dare anything.|There was a slightly sensuous curve to her mouth, but on the whole her face was striking and intellectual. I felt that if she chose she could fascinate a man so that he would dare anything.
poisoned_pen_03_f000174|I never before understood why the Russian police feared the women revolutionists so much. It was because they were themselves, plus every man they could influence.|I never before understood why the Russian police feared the women revolutionists so much. It was because they were themselves, plus every man they could influence.
poisoned_pen_03_f000175|Nevsky appeared very excited. She talked rapidly, and fire flashed from her grey eyes. They tell me at the club, she began, that you are investigating the terrible things that are happening to us.|Nevsky appeared very excited. She talked rapidly, and fire flashed from her grey eyes. They tell me at the club, she began, that you are investigating the terrible things that are happening to us.
poisoned_pen_03_f000176|Oh, Professor Kennedy, it is awful! Last night I was staying with some friends on East Broadway. Suddenly we heard a terrific explosion up the street.|Oh, Professor Kennedy, it is awful! Last night I was staying with some friends on East Broadway. Suddenly we heard a terrific explosion up the street.
poisoned_pen_03_f000177|It was in front of doctor Kharkoff's house.|It was in front of doctor Kharkoff's house.
poisoned_pen_03_f000178|Thank Heaven, he is still alive! But I was so unnerved I could not sleep. I fancied I might be the next to go.|Thank Heaven, he is still alive! But I was so unnerved I could not sleep. I fancied I might be the next to go.
poisoned_pen_03_f000179|Early this morning I hastened to return to Fifth Avenue. As I entered the door of my room I could not help thinking of the horrible fate of doctor Kharkoff.|Early this morning I hastened to return to Fifth Avenue. As I entered the door of my room I could not help thinking of the horrible fate of doctor Kharkoff.
poisoned_pen_03_f000180|For some unknown reason, just as I was about to push the door farther open, I hesitated and looked - I almost fainted. There stood another bomb just inside.|For some unknown reason, just as I was about to push the door farther open, I hesitated and looked - I almost fainted. There stood another bomb just inside.
poisoned_pen_03_f000181|If I had moved the door a fraction of an inch it would have exploded.|If I had moved the door a fraction of an inch it would have exploded.
poisoned_pen_03_f000182|I screamed, and Olga, sick as she was, ran to my assistance - or perhaps she thought something had happened to Boris. It is standing there yet.|I screamed, and Olga, sick as she was, ran to my assistance - or perhaps she thought something had happened to Boris. It is standing there yet.
poisoned_pen_03_f000183|None of us dares touch it. Oh, Professor Kennedy, it is dreadful, dreadful. And I cannot find Boris - mister|None of us dares touch it. Oh, Professor Kennedy, it is dreadful, dreadful. And I cannot find Boris - mister
poisoned_pen_03_f000184|Kazanovitch, I mean. Saratovsky, who is like a father to us all, is scarcely able to speak. doctor Kharkoff is helpless in the hospital. Oh, what are we to do, what are we to do?|Kazanovitch, I mean. Saratovsky, who is like a father to us all, is scarcely able to speak. doctor Kharkoff is helpless in the hospital. Oh, what are we to do, what are we to do?
poisoned_pen_03_f000185|She stood trembling before us, imploring.|She stood trembling before us, imploring.
poisoned_pen_03_f000186|Calm yourself, Miss Nevsky, said Kennedy in a reassuring tone.|Calm yourself, Miss Nevsky, said Kennedy in a reassuring tone.
poisoned_pen_03_f000187|Sit down and let us plan. I take it that it was a chemical bomb and not one with a fuse, or you would have a different story to tell.|Sit down and let us plan. I take it that it was a chemical bomb and not one with a fuse, or you would have a different story to tell.
poisoned_pen_03_f000188|First of all, we must remove it. That is easily done.|First of all, we must remove it. That is easily done.
poisoned_pen_03_f000189|He called up a near-by garage and ordered an automobile. I will drive it myself, he ordered, only send a man around with it immediately.|He called up a near-by garage and ordered an automobile. I will drive it myself, he ordered, only send a man around with it immediately.
poisoned_pen_03_f000190|No, no, no, she cried, running toward him, you must not risk it.|No, no, no, she cried, running toward him, you must not risk it.
poisoned_pen_03_f000191|It is bad enough that we should risk our lives. But strangers must not. Think, Professor Kennedy. Suppose the bomb should explode at a touch!|It is bad enough that we should risk our lives. But strangers must not. Think, Professor Kennedy. Suppose the bomb should explode at a touch!
poisoned_pen_03_f000192|Had we not better call the police and let them take the risk, even if it does get into the papers?|Had we not better call the police and let them take the risk, even if it does get into the papers?
poisoned_pen_03_f000193|No, replied Kennedy firmly. Miss Nevsky, I am quite willing to take the risk. Besides, here comes the automobile.|No, replied Kennedy firmly. Miss Nevsky, I am quite willing to take the risk. Besides, here comes the automobile.
poisoned_pen_03_f000194|You are too kind, she exclaimed. Kazanovitch himself could do no more. How am I ever to thank you?|You are too kind, she exclaimed. Kazanovitch himself could do no more. How am I ever to thank you?
poisoned_pen_03_f000195|On the back of the automobile Kennedy placed a peculiar oblong box, swung on two concentric rings balanced on pivots, like a most delicate compass.|On the back of the automobile Kennedy placed a peculiar oblong box, swung on two concentric rings balanced on pivots, like a most delicate compass.
poisoned_pen_03_f000196|We rode quickly downtown, and Kennedy hurried into the house, bidding us stand back. With a long pair of tongs he seized the bomb firmly.|We rode quickly downtown, and Kennedy hurried into the house, bidding us stand back. With a long pair of tongs he seized the bomb firmly.
poisoned_pen_03_f000197|It was a tense moment. Suppose his hand should unnecessarily tremble, or he should tip it just a bit - it might explode and blow him to atoms.|It was a tense moment. Suppose his hand should unnecessarily tremble, or he should tip it just a bit - it might explode and blow him to atoms.
poisoned_pen_03_f000198|Keeping it perfectly horizontal he carried it carefully out to the waiting automobile and placed it gingerly in the box.|Keeping it perfectly horizontal he carried it carefully out to the waiting automobile and placed it gingerly in the box.
poisoned_pen_03_f000199|Wouldn't it be a good thing to fill the box with water? I suggested, having read somewhere that that was the usual way of opening a bomb, under water.|Wouldn't it be a good thing to fill the box with water? I suggested, having read somewhere that that was the usual way of opening a bomb, under water.
poisoned_pen_03_f000200|No, he replied, as he closed the lid, that wouldn't do any good with a bomb of this sort. It would explode under water just as well as in air.|No, he replied, as he closed the lid, that wouldn't do any good with a bomb of this sort. It would explode under water just as well as in air.
poisoned_pen_03_f000201|This is a safety bomb-carrier. It is known as the Cardon suspension. It was invented by Professor Cardono, an Italian.|This is a safety bomb-carrier. It is known as the Cardon suspension. It was invented by Professor Cardono, an Italian.
poisoned_pen_03_f000202|You see, it is always held in a perfectly horizontal position, no matter how you jar it. I am now going to take the bomb to some safe and convenient place where I can examine it at my leisure.|You see, it is always held in a perfectly horizontal position, no matter how you jar it. I am now going to take the bomb to some safe and convenient place where I can examine it at my leisure.
poisoned_pen_03_f000203|Meanwhile, Miss Nevsky, I will leave you in charge of mister Jameson.|Meanwhile, Miss Nevsky, I will leave you in charge of mister Jameson.
poisoned_pen_03_f000204|Thank you so much, she said. I feel better now. I didn't dare go into my own room with that bomb at the door. If mister Jameson can only find out what has become of mister Kazanovitch, that is all I want.|Thank you so much, she said. I feel better now. I didn't dare go into my own room with that bomb at the door. If mister Jameson can only find out what has become of mister Kazanovitch, that is all I want.
poisoned_pen_03_f000205|What do you suppose has happened to him? Is he, too, hurt or ill?|What do you suppose has happened to him? Is he, too, hurt or ill?
poisoned_pen_03_f000206|Very well, then, Craig replied. I will commission you, Walter, to find Kazanovitch. I shall be back again shortly before noon to examine the wreck of Kharkoff's office.|Very well, then, Craig replied. I will commission you, Walter, to find Kazanovitch. I shall be back again shortly before noon to examine the wreck of Kharkoff's office.
poisoned_pen_03_f000207|Meet me there. Goodbye, Miss Nevsky.|Meet me there. Goodbye, Miss Nevsky.
poisoned_pen_03_f000208|It was not the first time that I had had a roving commission to find some one who had disappeared in New York. I started by inquiring for every possible place that he might be found.|It was not the first time that I had had a roving commission to find some one who had disappeared in New York. I started by inquiring for every possible place that he might be found.
poisoned_pen_03_f000209|No one at the Fifth Avenue house could tell me anything definite, though they were able to give me a number of places where he was known.|No one at the Fifth Avenue house could tell me anything definite, though they were able to give me a number of places where he was known.
poisoned_pen_03_f000210|I consumed practically the whole morning going from one place to another on the East Side. Some of the picturesque haunts of the revolutionists would have furnished material for a story in themselves.|I consumed practically the whole morning going from one place to another on the East Side. Some of the picturesque haunts of the revolutionists would have furnished material for a story in themselves.
poisoned_pen_03_f000211|But nowhere had they any word of Kazanovitch, until I visited a Polish artist who was illustrating his stories. He had been there, looking very worn and tired,|But nowhere had they any word of Kazanovitch, until I visited a Polish artist who was illustrating his stories. He had been there, looking very worn and tired,
poisoned_pen_03_f000212|and had talked vacantly about the sketches which the artist had showed him.|and had talked vacantly about the sketches which the artist had showed him.
poisoned_pen_03_f000213|After that I lost all trace of him again. It was nearly noon as I hurried to meet Craig at Kharkoff's.|After that I lost all trace of him again. It was nearly noon as I hurried to meet Craig at Kharkoff's.
poisoned_pen_03_f000214|Imagine my surprise to see Kazanovitch already there, seated in the wrecked office, furiously smoking cigarettes and showing evident signs of having something very disturbing on his mind.|Imagine my surprise to see Kazanovitch already there, seated in the wrecked office, furiously smoking cigarettes and showing evident signs of having something very disturbing on his mind.
poisoned_pen_03_f000215|The moment he caught sight of me, he hurried forward.|The moment he caught sight of me, he hurried forward.
poisoned_pen_03_f000216|Is Professor Kennedy coming soon? he inquired eagerly. I was going up to his laboratory, but I called up Nevsky, and she said he would be here at noon.|Is Professor Kennedy coming soon? he inquired eagerly. I was going up to his laboratory, but I called up Nevsky, and she said he would be here at noon.
poisoned_pen_03_f000217|Then he put his hand up to my ear and whispered, I have found out who it was who shadowed Kharkoff.|Then he put his hand up to my ear and whispered, I have found out who it was who shadowed Kharkoff.
poisoned_pen_03_f000218|Who? I asked, saying nothing of my long search of the morning.|Who? I asked, saying nothing of my long search of the morning.
poisoned_pen_03_f000219|His name is Revalenko - Feodor Revalenko. I saw him standing across the street in front of the house last night after you had gone.|His name is Revalenko - Feodor Revalenko. I saw him standing across the street in front of the house last night after you had gone.
poisoned_pen_03_f000220|When Kharkoff left, he followed him. I hurried out quietly and followed both of them. Then the explosion came. This man slipped down a narrow street as soon as he saw Kharkoff fall.|When Kharkoff left, he followed him. I hurried out quietly and followed both of them. Then the explosion came. This man slipped down a narrow street as soon as he saw Kharkoff fall.
