silent_bullet_01_f000001|CRAIG KENNEDY’S THEORIES.|CRAIG KENNEDYS THEORIES.
silent_bullet_02_f000218|but the coroner had sent out the invitations, and they had nothing to do but accept.|but the coroner had sent out the invitations, and they had nothing to do but accept.
silent_bullet_02_f000219|Each one was politely welcomed by the professor and assigned a seat, much as he would have done with a group of students.|Each one was politely welcomed by the professor and assigned a seat, much as he would have done with a group of students.
silent_bullet_02_f000220|The inspector and the coroner sat back a little. misis Parker, mister Downey, mister Bruce, myself, and Miss La Neige sat in that order in the very narrow and uncomfortable little armchairs used by the students during lectures.|The inspector and the coroner sat back a little. misis Parker, mister Downey, mister Bruce, myself, and Miss La Neige sat in that order in the very narrow and uncomfortable little armchairs used by the students during lectures.
silent_bullet_02_f000221|At last Kennedy was ready to begin. He took his position behind the long, flat-topped table which he used for his demonstrations before his classes.|At last Kennedy was ready to begin. He took his position behind the long, flat-topped table which he used for his demonstrations before his classes.
silent_bullet_02_f000222|I realise, ladies and gentlemen, he began formally, that I am about to do a very unusual thing; but, as you all know,|I realise, ladies and gentlemen, he began formally, that I am about to do a very unusual thing; but, as you all know,
silent_bullet_02_f000223|the police and the coroner have been completely baffled by this terrible mystery and have requested me to attempt to clear up at least certain points in it.|the police and the coroner have been completely baffled by this terrible mystery and have requested me to attempt to clear up at least certain points in it.
silent_bullet_02_f000224|I will begin what I have to say by remarking that the tracing out of a crime like this differs in nothing, except as regards the subject-matter,|I will begin what I have to say by remarking that the tracing out of a crime like this differs in nothing, except as regards the subject-matter,
silent_bullet_02_f000225|from the search for a scientific truth.|from the search for a scientific truth.
silent_bullet_02_f000226|The forcing of man’s secrets is like the forcing of nature’s secrets. Both are pieces of detective work. The methods employed in the detection of crime are,|The forcing of mans secrets is like the forcing of natures secrets. Both are pieces of detective work. The methods employed in the detection of crime are,
silent_bullet_02_f000227|or rather should be, like the methods employed in the process of discovering scientific truth.|or rather should be, like the methods employed in the process of discovering scientific truth.
silent_bullet_02_f000228|In a crime of this sort, two kinds of evidence need to be secured. Circumstantial evidence must first be marshalled, and then a motive must be found.|In a crime of this sort, two kinds of evidence need to be secured. Circumstantial evidence must first be marshalled, and then a motive must be found.
silent_bullet_02_f000229|I have been gathering facts. But to omit motives and rest contented with mere facts would be inconclusive. It would never convince anybody or convict anybody.|I have been gathering facts. But to omit motives and rest contented with mere facts would be inconclusive. It would never convince anybody or convict anybody.
silent_bullet_02_f000230|In other words, circumstantial evidence must first lead to a suspect, and then this suspect must prove equal to accounting for the facts.|In other words, circumstantial evidence must first lead to a suspect, and then this suspect must prove equal to accounting for the facts.
silent_bullet_02_f000231|It is my hope that each of you may contribute something that will be of service in arriving at the truth of this unfortunate incident.|It is my hope that each of you may contribute something that will be of service in arriving at the truth of this unfortunate incident.
silent_bullet_02_f000232|The tension was not relieved even when Kennedy stopped speaking and began to fuss with a little upright target which he set up at one end of his table.|The tension was not relieved even when Kennedy stopped speaking and began to fuss with a little upright target which he set up at one end of his table.
silent_bullet_02_f000233|We seemed to be seated over a powder magazine which threatened to explode at any moment. I, at least, felt the tension so greatly that it was only after he had started speaking again,|We seemed to be seated over a powder magazine which threatened to explode at any moment. I, at least, felt the tension so greatly that it was only after he had started speaking again,
silent_bullet_02_f000234|that I noticed that the target was composed of a thick layer of some putty-like material.|that I noticed that the target was composed of a thick layer of some putty-like material.
silent_bullet_02_f000235|Holding a thirty-two-calibre pistol in his right hand and aiming it at the target, Kennedy picked up a large piece of coarse homespun from the table and held it loosely over the muzzle of the gun.|Holding a thirty-two-calibre pistol in his right hand and aiming it at the target, Kennedy picked up a large piece of coarse homespun from the table and held it loosely over the muzzle of the gun.
silent_bullet_02_f000236|Then he fired. The bullet tore through the cloth, sped through the air, and buried itself in the target. With a knife he pried it out.|Then he fired. The bullet tore through the cloth, sped through the air, and buried itself in the target. With a knife he pried it out.
silent_bullet_02_f000237|I doubt if even the inspector himself could have told us that when an ordinary leaden bullet is shot through a woven fabric the weave of that fabric is in the majority of cases impressed on the bullet,|I doubt if even the inspector himself could have told us that when an ordinary leaden bullet is shot through a woven fabric the weave of that fabric is in the majority of cases impressed on the bullet,
silent_bullet_02_f000238|sometimes clearly, sometimes faintly.|sometimes clearly, sometimes faintly.
silent_bullet_02_f000239|Here Kennedy took up a piece of fine batiste and fired another bullet through it.|Here Kennedy took up a piece of fine batiste and fired another bullet through it.
silent_bullet_02_f000240|Every leaden bullet, as I have said, which has struck such a fabric bears an impression of the threads which is recognisable even when the bullet has penetrated deeply into the body.|Every leaden bullet, as I have said, which has struck such a fabric bears an impression of the threads which is recognisable even when the bullet has penetrated deeply into the body.
silent_bullet_02_f000241|It is only obliterated partially or entirely when the bullet has been flattened by striking a bone or other hard object. Even then, as in this case,|It is only obliterated partially or entirely when the bullet has been flattened by striking a bone or other hard object. Even then, as in this case,
silent_bullet_02_f000242|if only a part of the bullet is flattened the remainder may still show the marks of the fabric.|if only a part of the bullet is flattened the remainder may still show the marks of the fabric.
silent_bullet_02_f000243|A heavy warp, say of cotton velvet or, as I have here, homespun, will be imprinted well on the bullet, but even a fine batiste, containing one hundred threads to the inch, will show marks.|A heavy warp, say of cotton velvet or, as I have here, homespun, will be imprinted well on the bullet, but even a fine batiste, containing one hundred threads to the inch, will show marks.
silent_bullet_02_f000244|Even layers of goods such as a coat, shirt, and undershirt may each leave their marks, but that does not concern us in this case.|Even layers of goods such as a coat, shirt, and undershirt may each leave their marks, but that does not concern us in this case.
silent_bullet_02_f000245|Now I have here a piece of pongee silk, cut from a woman’s automobile-coat. I discharge the bullet through it - so. I compare the bullet now with the others and with the one probed from the neck of mister Parker.|Now I have here a piece of pongee silk, cut from a womans automobile-coat. I discharge the bullet through it - so. I compare the bullet now with the others and with the one probed from the neck of mister Parker.
silent_bullet_02_f000246|I find that the marks on that fatal bullet correspond precisely with those on the bullet fired through the pongee coat.|I find that the marks on that fatal bullet correspond precisely with those on the bullet fired through the pongee coat.
silent_bullet_02_f000247|Startling as was this revelation, Kennedy paused only an instant before the next.|Startling as was this revelation, Kennedy paused only an instant before the next.
silent_bullet_02_f000248|Now I have another demonstration. A certain note figures in this case.|Now I have another demonstration. A certain note figures in this case.
silent_bullet_02_f000249|mister Parker was reading it, or perhaps re-reading it, at the time he was shot. I have not been able to obtain that note - at least not in a form such as I could use in discovering what were its contents.|mister Parker was reading it, or perhaps re-reading it, at the time he was shot. I have not been able to obtain that note - at least not in a form such as I could use in discovering what were its contents.
silent_bullet_02_f000250|But in a certain wastebasket I found a mass of wet and pulp-like paper. It had been cut up, macerated, perhaps chewed; perhaps it had been also soaked with water.|But in a certain wastebasket I found a mass of wet and pulp-like paper. It had been cut up, macerated, perhaps chewed; perhaps it had been also soaked with water.
silent_bullet_02_f000251|There was a washbasin with running water in this room. The ink had run, and of course was illegible. The thing was so unusual that I at once assumed that this was the remains of the note in question.|There was a washbasin with running water in this room. The ink had run, and of course was illegible. The thing was so unusual that I at once assumed that this was the remains of the note in question.
silent_bullet_02_f000252|Under ordinary circumstances it would be utterly valueless as a clue to anything. But to-day science is not ready to let anything pass as valueless.|Under ordinary circumstances it would be utterly valueless as a clue to anything. But to-day science is not ready to let anything pass as valueless.
silent_bullet_02_f000253|I found on microscopic examination that it was an uncommon linen bond paper, and I have taken a large number of microphotographs of the fibres in it.|I found on microscopic examination that it was an uncommon linen bond paper, and I have taken a large number of microphotographs of the fibres in it.
silent_bullet_02_f000254|They are all similar. I have here also about a hundred microphotographs of the fibres in other kinds of paper, many of them bonds.|They are all similar. I have here also about a hundred microphotographs of the fibres in other kinds of paper, many of them bonds.
silent_bullet_02_f000255|These I have accumulated from time to time in my study of the subject. None of them, as you can see, shows fibres resembling this one in question,|These I have accumulated from time to time in my study of the subject. None of them, as you can see, shows fibres resembling this one in question,
silent_bullet_02_f000256|so we may conclude that it is of uncommon quality.|so we may conclude that it is of uncommon quality.
silent_bullet_02_f000257|Through an agent of the police I have secured samples of the notepaper of every one who could be concerned, as far as I could see, with this case.|Through an agent of the police I have secured samples of the notepaper of every one who could be concerned, as far as I could see, with this case.
silent_bullet_02_f000258|Here are the photographs of the fibres of these various notepapers, and among them all is just one that corresponds to the fibres in the wet mass of paper I discovered in the scrap-basket.|Here are the photographs of the fibres of these various notepapers, and among them all is just one that corresponds to the fibres in the wet mass of paper I discovered in the scrap-basket.
silent_bullet_02_f000259|Now lest anyone should question the accuracy of this method I might cite a case where a man had been arrested in Germany charged with stealing a government bond.|Now lest anyone should question the accuracy of this method I might cite a case where a man had been arrested in Germany charged with stealing a government bond.
silent_bullet_02_f000260|He was not searched till later. There was no evidence save that after the arrest a large number of spitballs were found around the courtyard under his cell window.|He was not searched till later. There was no evidence save that after the arrest a large number of spitballs were found around the courtyard under his cell window.
silent_bullet_02_f000261|This method of comparing the fibres with those of the regular government paper was used, and by it the man was convicted of stealing the bond.|This method of comparing the fibres with those of the regular government paper was used, and by it the man was convicted of stealing the bond.
silent_bullet_02_f000262|I think it is almost unnecessary to add that in the present case we know precisely who.|I think it is almost unnecessary to add that in the present case we know precisely who.
silent_bullet_02_f000263|At this point the tension was so great that it snapped. Miss La Neige, who was sitting beside me, had been leaning forward involuntarily.|At this point the tension was so great that it snapped. Miss La Neige, who was sitting beside me, had been leaning forward involuntarily.
silent_bullet_02_f000264|Almost as if the words were wrung from her she whispered hoarsely: They put me up to doing it; I didn’t want to. But the affair had gone too far.|Almost as if the words were wrung from her she whispered hoarsely: They put me up to doing it; I didnt want to. But the affair had gone too far.
silent_bullet_02_f000265|I couldn’t see him lost before my very eyes. I didn’t want her to get him. The quickest way out was to tell the whole story to mister Parker and stop it.|I couldnt see him lost before my very eyes. I didnt want her to get him. The quickest way out was to tell the whole story to mister Parker and stop it.
silent_bullet_02_f000266|It was the only way I could think of to stop this thing between another man’s wife and the man I loved better than my own husband.|It was the only way I could think of to stop this thing between another mans wife and the man I loved better than my own husband.
silent_bullet_02_f000267|God knows, Professor Kennedy, that was all - Calm yourself, madame, interrupted Kennedy soothingly. Calm yourself.|God knows, Professor Kennedy, that was all - Calm yourself, madame, interrupted Kennedy soothingly. Calm yourself.
silent_bullet_02_f000268|What’s done is done. The truth must come out. Be calm. Now, he continued, after the first storm of remorse had spent itself and we were all outwardly composed again,|Whats done is done. The truth must come out. Be calm. Now, he continued, after the first storm of remorse had spent itself and we were all outwardly composed again,
silent_bullet_02_f000269|we have said nothing whatever of the most mysterious feature of the case, the firing of the shot.|we have said nothing whatever of the most mysterious feature of the case, the firing of the shot.
silent_bullet_02_f000270|The murderer could have thrust the weapon into the pocket or the folds of this coat - here he drew forth the automobile coat and held it aloft,|The murderer could have thrust the weapon into the pocket or the folds of this coat - here he drew forth the automobile coat and held it aloft,
silent_bullet_02_f000271|displaying the bullet hole - and he or she I will not say which could have discharged the pistol unseen.|displaying the bullet hole - and he or she I will not say which could have discharged the pistol unseen.
silent_bullet_02_f000272|By removing and secreting the weapon afterward one very important piece of evidence would be suppressed.|By removing and secreting the weapon afterward one very important piece of evidence would be suppressed.
silent_bullet_02_f000273|This person could have used such a cartridge as I have here, made with smokeless powder, and the coat would have concealed the flash of the shot very effectively.|This person could have used such a cartridge as I have here, made with smokeless powder, and the coat would have concealed the flash of the shot very effectively.
silent_bullet_02_f000274|There would have been no smoke. But neither this coat nor even a heavy blanket would have deadened the report of the shot.|There would have been no smoke. But neither this coat nor even a heavy blanket would have deadened the report of the shot.
silent_bullet_02_f000275|What are we to think of that? Only one thing. I have often wondered why the thing wasn’t done before. In fact I have been waiting for it to occur.|What are we to think of that? Only one thing. I have often wondered why the thing wasnt done before. In fact I have been waiting for it to occur.
silent_bullet_02_f000276|There is an invention that makes it almost possible to strike a man down with impunity in broad daylight in any place where there is sufficient noise to cover up a click, a slight Pouf!|There is an invention that makes it almost possible to strike a man down with impunity in broad daylight in any place where there is sufficient noise to cover up a click, a slight Pouf!
silent_bullet_02_f000277|and the whir of the bullet in the air.|and the whir of the bullet in the air.
silent_bullet_02_f000278|I refer to this little device of a Hartford inventor. I place it over the muzzle of the thirty-two-calibre revolver I have so far been using - so.|I refer to this little device of a Hartford inventor. I place it over the muzzle of the thirty-two-calibre revolver I have so far been using - so.
silent_bullet_02_f000279|Now, mister Jameson, if you will sit at that typewriter over there and write - anything so long as you keep the keys clicking.|Now, mister Jameson, if you will sit at that typewriter over there and write - anything so long as you keep the keys clicking.
silent_bullet_02_f000280|The inspector will start that imitation stock-ticker in the corner. Now we are ready. I cover the pistol with a cloth. I defy anyone in this room to tell me the exact moment when I discharged the pistol.|The inspector will start that imitation stock-ticker in the corner. Now we are ready. I cover the pistol with a cloth. I defy anyone in this room to tell me the exact moment when I discharged the pistol.
silent_bullet_02_f000281|I could have shot any of you, and an outsider not in the secret would never have thought that I was the culprit. To a certain extent I have reproduced the conditions under which this shooting occurred.|I could have shot any of you, and an outsider not in the secret would never have thought that I was the culprit. To a certain extent I have reproduced the conditions under which this shooting occurred.
silent_bullet_02_f000282|At once on being sure of this feature of the case I despatched a man to Hartford to see this inventor. The man obtained from him a complete list of all the dealers in New York to whom such devices had been sold.|At once on being sure of this feature of the case I despatched a man to Hartford to see this inventor. The man obtained from him a complete list of all the dealers in New York to whom such devices had been sold.
silent_bullet_02_f000283|The man also traced every sale of those dealers. He did not actually obtain the weapon,|The man also traced every sale of those dealers. He did not actually obtain the weapon,
silent_bullet_02_f000284|but if he is working on schedule-time according to agreement he is at this moment armed with a search-warrant and is ransacking every possible place where the person suspected|but if he is working on schedule-time according to agreement he is at this moment armed with a search-warrant and is ransacking every possible place where the person suspected
silent_bullet_02_f000285|of this crime could have concealed his weapon. For, one of the persons intimately connected with this case purchased not long ago a silencer for a thirty-two-calibre revolver,|of this crime could have concealed his weapon. For, one of the persons intimately connected with this case purchased not long ago a silencer for a thirty-two-calibre revolver,
silent_bullet_02_f000286|and I presume that that person carried the gun and the silencer at the time of the murder of Kerr Parker.|and I presume that that person carried the gun and the silencer at the time of the murder of Kerr Parker.
silent_bullet_02_f000287|Kennedy concluded in triumph, his voice high pitched, his eyes flashing.|Kennedy concluded in triumph, his voice high pitched, his eyes flashing.
silent_bullet_02_f000288|Yet to all outward appearance not a heart-beat was quickened. Someone in that room had an amazing store of self-possession.|Yet to all outward appearance not a heart-beat was quickened. Someone in that room had an amazing store of self-possession.
silent_bullet_02_f000289|The fear flitted across my mind that even at the last Kennedy was baffled.|The fear flitted across my mind that even at the last Kennedy was baffled.
silent_bullet_02_f000290|I had anticipated some such anti-climax, he continued after a moment.|I had anticipated some such anti-climax, he continued after a moment.
silent_bullet_02_f000291|I am prepared for it.|I am prepared for it.
silent_bullet_02_f000292|He touched a bell, and the door to the next room opened. One of Kennedy’s graduate students stepped in.|He touched a bell, and the door to the next room opened. One of Kennedys graduate students stepped in.
silent_bullet_02_f000293|You have the records, Whiting he asked.|You have the records, Whiting he asked.
silent_bullet_02_f000294|Yes, Professor.|Yes, Professor.
silent_bullet_02_f000295|I may say, said Kennedy, that each of your chairs is wired under the arm in such a way as to betray on an appropriate indicator in the next room every sudden and undue emotion.|I may say, said Kennedy, that each of your chairs is wired under the arm in such a way as to betray on an appropriate indicator in the next room every sudden and undue emotion.
silent_bullet_02_f000296|Though it may be concealed from the eye, even of one like me who stands facing you, such emotion is nevertheless expressed by physical pressure on the arms of the chair.|Though it may be concealed from the eye, even of one like me who stands facing you, such emotion is nevertheless expressed by physical pressure on the arms of the chair.
silent_bullet_02_f000297|It is a test that is used frequently with students to demonstrate various points of psychology. You needn’t raise your arms from the chairs, ladies and gentlemen.|It is a test that is used frequently with students to demonstrate various points of psychology. You neednt raise your arms from the chairs, ladies and gentlemen.
silent_bullet_02_f000298|The tests are all over now. What did they show, Whiting?|The tests are all over now. What did they show, Whiting?
silent_bullet_02_f000299|The student read what he had been noting in the next room. At the production of the coat during the demonstration of the markings of the bullet,|The student read what he had been noting in the next room. At the production of the coat during the demonstration of the markings of the bullet,
silent_bullet_02_f000300|misis Parker had betrayed great emotion, mister Bruce had done likewise, and nothing more than ordinary emotion had been noted for the rest of us.|misis Parker had betrayed great emotion, mister Bruce had done likewise, and nothing more than ordinary emotion had been noted for the rest of us.
silent_bullet_02_f000301|Miss La Neige’s automatic record during the tracing out of the sending of the note to Parker had been especially unfavourable to her; mister Bruce showed almost as much excitement;|Miss La Neiges automatic record during the tracing out of the sending of the note to Parker had been especially unfavourable to her; mister Bruce showed almost as much excitement;
silent_bullet_02_f000302|misis Parker very little and Downey very little.|misis Parker very little and Downey very little.
silent_bullet_02_f000303|It was all set forth in curves drawn by self-recording pens on regular ruled paper. The student had merely noted what took place in the lecture-room as corresponding to these curves.|It was all set forth in curves drawn by self-recording pens on regular ruled paper. The student had merely noted what took place in the lecture-room as corresponding to these curves.
silent_bullet_02_f000304|At the mention of the noiseless gun, said Kennedy, bending over the record, while the student pointed it out to him and we leaned forward to catch his words,|At the mention of the noiseless gun, said Kennedy, bending over the record, while the student pointed it out to him and we leaned forward to catch his words,
silent_bullet_02_f000305|I find that the curves of Miss La Neige, misis Parker, and mister Downey are only so far from normal as would be natural.|I find that the curves of Miss La Neige, misis Parker, and mister Downey are only so far from normal as would be natural.
silent_bullet_02_f000306|All of them were witnessing a thing for the first time with only curiosity and no fear. The curve made by mister Bruce shows great agitation and - I heard a metallic click at my side and turned hastily.|All of them were witnessing a thing for the first time with only curiosity and no fear. The curve made by mister Bruce shows great agitation and - I heard a metallic click at my side and turned hastily.
silent_bullet_02_f000307|It was Inspector Barney O’Connor, who had stepped out of the shadow with a pair of hand-cuffs.|It was Inspector Barney OConnor, who had stepped out of the shadow with a pair of hand-cuffs.
silent_bullet_02_f000308|James Bruce, you are under arrest, he said.|James Bruce, you are under arrest, he said.
silent_bullet_02_f000309|There flashed on my mind, and I think on the minds of some of the others, a picture of another electrically wired chair.|There flashed on my mind, and I think on the minds of some of the others, a picture of another electrically wired chair.
silent_bullet_03_f000001|The Scientific Cracksman.|The Scientific Cracksman.
silent_bullet_03_f000002|I’m willing to wager you a box of cigars that you don’t know the most fascinating story in your own paper to-night, remarked Kennedy,|Im willing to wager you a box of cigars that you dont know the most fascinating story in your own paper to-night, remarked Kennedy,
silent_bullet_03_f000003|as I came in one evening with the four or five newspapers I was in the habit of reading to see whether they had beaten the Star in getting any news of importance.|as I came in one evening with the four or five newspapers I was in the habit of reading to see whether they had beaten the Star in getting any news of importance.
silent_bullet_03_f000004|I’ll bet I do, I said, or I was one of about a dozen who worked it up. It’s the Shaw murder trial. There isn’t another that’s even a bad second.|Ill bet I do, I said, or I was one of about a dozen who worked it up. Its the Shaw murder trial. There isnt another thats even a bad second.
silent_bullet_03_f000005|I am afraid the cigars will be on you, Walter. Crowded over on the second page by a lot of stale sensation that everyone has read for the fiftieth time,|I am afraid the cigars will be on you, Walter. Crowded over on the second page by a lot of stale sensation that everyone has read for the fiftieth time,
silent_bullet_03_f000006|now, you will find what promises to be a real sensation, a curious half-column account of the sudden death of John G. Fletcher.|now, you will find what promises to be a real sensation, a curious half-column account of the sudden death of John G. Fletcher.
silent_bullet_03_f000007|I laughed. Craig, I said, when you put up a simple death from apoplexy against a murder trial, and such a murder trial; well, you disappoint me - that’s all.|I laughed. Craig, I said, when you put up a simple death from apoplexy against a murder trial, and such a murder trial; well, you disappoint me - thats all.
silent_bullet_03_f000008|Is it a simple case of apoplexy? he asked, pacing up and down the room, while I wondered why he should grow excited over what seemed a very ordinary news item, after all.|Is it a simple case of apoplexy? he asked, pacing up and down the room, while I wondered why he should grow excited over what seemed a very ordinary news item, after all.
silent_bullet_03_f000009|Then he picked up the paper and read the account slowly aloud.|Then he picked up the paper and read the account slowly aloud.
silent_bullet_03_f000010|JOHN G. FLETCHER, STEEL MAGNATE, DIES SUDDENLY SAFE OPEN BUT LARGE SUM OF CASH UNTOUCHED John Graham Fletcher, the aged philanthropist and steelmaker,|JOHN G. FLETCHER, STEEL MAGNATE, DIES SUDDENLY SAFE OPEN BUT LARGE SUM OF CASH UNTOUCHED John Graham Fletcher, the aged philanthropist and steelmaker,
silent_bullet_03_f000011|was found dead in his library this morning at his home at Fletcherwood, Great Neck, Long Island.|was found dead in his library this morning at his home at Fletcherwood, Great Neck, Long Island.
silent_bullet_03_f000012|Strangely, the safe in the library in which he kept his papers and a large sum of cash was found opened, but as far as could be learned nothing is missing.|Strangely, the safe in the library in which he kept his papers and a large sum of cash was found opened, but as far as could be learned nothing is missing.
silent_bullet_03_f000013|It had always been mister Fletcher’s custom to rise at seven o’clock. This morning his housekeeper became alarmed when he had not appeared by nine o’clock.|It had always been mister Fletchers custom to rise at seven oclock. This morning his housekeeper became alarmed when he had not appeared by nine oclock.
silent_bullet_03_f000014|Listening at the door, she heard no sound. It was not locked, and on entering she found the former steel-magnate lying lifeless on the floor between his bedroom and the library adjoining.|Listening at the door, she heard no sound. It was not locked, and on entering she found the former steel-magnate lying lifeless on the floor between his bedroom and the library adjoining.
silent_bullet_03_f000015|His personal physician, doctor W. C. Bryant, was immediately notified.|His personal physician, doctor W. C. Bryant, was immediately notified.
silent_bullet_03_f000016|Close examination of the body revealed that his face was slightly discoloured, and the cause of death was given by the physician as apoplexy.|Close examination of the body revealed that his face was slightly discoloured, and the cause of death was given by the physician as apoplexy.
silent_bullet_03_f000017|He had evidently been dead about eight or nine hours when discovered.|He had evidently been dead about eight or nine hours when discovered.
silent_bullet_03_f000018|mister Fletcher is survived by a nephew, John G. Fletcher, II., who is the Blake professor of bacteriology at the University, and by a grandniece, Miss Helen Bond.|mister Fletcher is survived by a nephew, John G. Fletcher, II., who is the Blake professor of bacteriology at the University, and by a grandniece, Miss Helen Bond.
silent_bullet_03_f000019|Professor Fletcher was informed of the sad occurrence shortly after leaving a class this morning and hurried out to Fletcherwood.|Professor Fletcher was informed of the sad occurrence shortly after leaving a class this morning and hurried out to Fletcherwood.
silent_bullet_03_f000020|He would make no statement other than that he was inexpressibly shocked. Miss Bond, who has for several years resided with relatives, mister and misis Francis Greene of Little Neck, is prostrated by the shock.|He would make no statement other than that he was inexpressibly shocked. Miss Bond, who has for several years resided with relatives, mister and misis Francis Greene of Little Neck, is prostrated by the shock.
silent_bullet_03_f000021|Walter, added Kennedy, as he laid down the paper and, without any more sparring, came directly to the point, there was something missing from that safe.|Walter, added Kennedy, as he laid down the paper and, without any more sparring, came directly to the point, there was something missing from that safe.
silent_bullet_03_f000022|I had no need to express the interest I now really felt, and Kennedy hastened to take advantage of it.|I had no need to express the interest I now really felt, and Kennedy hastened to take advantage of it.
silent_bullet_03_f000023|Just before you came in, he continued, Jack Fletcher called me up from Great Neck. You probably don’t know it,|Just before you came in, he continued, Jack Fletcher called me up from Great Neck. You probably dont know it,
silent_bullet_03_f000024|but it has been privately reported in the inner circle of the University that old Fletcher was to leave the bulk of his fortune to found a great school of preventive medicine,|but it has been privately reported in the inner circle of the University that old Fletcher was to leave the bulk of his fortune to found a great school of preventive medicine,
silent_bullet_03_f000025|and that the only proviso was that his nephew should be dean of the school. The professor told me over the wire that the will was missing from the safe,|and that the only proviso was that his nephew should be dean of the school. The professor told me over the wire that the will was missing from the safe,
silent_bullet_03_f000026|and that it was the only thing missing. From his excitement I judge that there is more to the story than he cared to tell over the phone.|and that it was the only thing missing. From his excitement I judge that there is more to the story than he cared to tell over the phone.
silent_bullet_03_f000027|He said his car was on the way to the city, and he asked if I wouldn’t come and help him - he wouldn’t say how. Now, I know him pretty well,|He said his car was on the way to the city, and he asked if I wouldnt come and help him - he wouldnt say how. Now, I know him pretty well,
silent_bullet_03_f000028|and I’m going to ask you to come along, Walter, for the express purpose of keeping this thing out of the newspapers understand? - until we get to the bottom of it.|and Im going to ask you to come along, Walter, for the express purpose of keeping this thing out of the newspapers understand? - until we get to the bottom of it.
silent_bullet_03_f000029|A few minutes later the telephone rang and the hall-boy announced that the car was waiting. We hurried down to it; the chauffeur lounged down carelessly into his seat|A few minutes later the telephone rang and the hall-boy announced that the car was waiting. We hurried down to it; the chauffeur lounged down carelessly into his seat
silent_bullet_03_f000030|and we were off across the city and river and out on the road to Great Neck with amazing speed.|and we were off across the city and river and out on the road to Great Neck with amazing speed.
silent_bullet_03_f000031|Already I began to feel something of Kennedy’s zest for the adventure.|Already I began to feel something of Kennedys zest for the adventure.
silent_bullet_03_f000032|I found myself half a dozen times on the point of hazarding a suspicion, only to relapse again into silence at the inscrutable look on Kennedy’s face.|I found myself half a dozen times on the point of hazarding a suspicion, only to relapse again into silence at the inscrutable look on Kennedys face.
silent_bullet_03_f000033|What was the mystery that awaited us in the great lonely house on Long Island?|What was the mystery that awaited us in the great lonely house on Long Island?
silent_bullet_03_f000034|We found Fletcherwood a splendid estate directly on the bay, with a long driveway leading up to the door. Professor Fletcher met us at the porte cochere,|We found Fletcherwood a splendid estate directly on the bay, with a long driveway leading up to the door. Professor Fletcher met us at the porte cochere,
silent_bullet_03_f000035|and I was glad to note that, far from taking me as an intruder, he seemed rather relieved that someone who understood the ways of the newspapers could stand between him and any reporters who might possibly drop in.|and I was glad to note that, far from taking me as an intruder, he seemed rather relieved that someone who understood the ways of the newspapers could stand between him and any reporters who might possibly drop in.
silent_bullet_03_f000036|He ushered us directly into the library and closed the door. It seemed as if he could scarcely wait to tell his story.|He ushered us directly into the library and closed the door. It seemed as if he could scarcely wait to tell his story.
silent_bullet_03_f000037|Kennedy, he began, almost trembling with excitement, look at that safe door.|Kennedy, he began, almost trembling with excitement, look at that safe door.
silent_bullet_03_f000038|We looked. It had been drilled through in such a way as to break the combination. It was a heavy door, closely fitting, and it was the best kind of small safe that the state of the art had produced.|We looked. It had been drilled through in such a way as to break the combination. It was a heavy door, closely fitting, and it was the best kind of small safe that the state of the art had produced.
silent_bullet_03_f000039|Yet clearly it had been tampered with, and successfully. Who was this scientific cracksman who had apparently accomplished the impossible? It was no ordinary hand and brain which had executed this job.|Yet clearly it had been tampered with, and successfully. Who was this scientific cracksman who had apparently accomplished the impossible? It was no ordinary hand and brain which had executed this job.
silent_bullet_03_f000040|Fletcher swung the door wide, and pointed to a little compartment inside, whose steel door had been jimmied open. Then out of it he carefully lifted a steel box and deposited it on the library table.|Fletcher swung the door wide, and pointed to a little compartment inside, whose steel door had been jimmied open. Then out of it he carefully lifted a steel box and deposited it on the library table.
silent_bullet_03_f000041|I suppose everybody has been handling that box? asked Craig quickly.|I suppose everybody has been handling that box? asked Craig quickly.
silent_bullet_03_f000042|A smile flitted across Fletcher’s features. I thought of that, Kennedy, he said. I remembered what you once told me about finger-prints.|A smile flitted across Fletchers features. I thought of that, Kennedy, he said. I remembered what you once told me about finger-prints.
silent_bullet_03_f000043|Only myself has touched it, and I was careful to take hold of it only on the sides. The will was placed in this box, and the key to the box was usually in the lock.|Only myself has touched it, and I was careful to take hold of it only on the sides. The will was placed in this box, and the key to the box was usually in the lock.
silent_bullet_03_f000044|Well, the will is gone. That’s all; nothing else was touched. But for the life of me I can’t find a mark on the box, not a finger-mark.|Well, the will is gone. Thats all; nothing else was touched. But for the life of me I cant find a mark on the box, not a finger-mark.
silent_bullet_03_f000045|Now on a hot and humid summer night like last night I should say it was pretty likely that anyone touching this metal box would have left finger-marks.|Now on a hot and humid summer night like last night I should say it was pretty likely that anyone touching this metal box would have left finger-marks.
silent_bullet_03_f000046|Shouldn’t you think so, Kennedy?|Shouldnt you think so, Kennedy?
silent_bullet_03_f000047|Kennedy nodded and continued to examine the place where the compartment had been jimmied. A low whistle aroused us: coming over to the table,|Kennedy nodded and continued to examine the place where the compartment had been jimmied. A low whistle aroused us: coming over to the table,
silent_bullet_03_f000048|Craig tore a white sheet of paper off a pad lying there and deposited a couple of small particles on it.|Craig tore a white sheet of paper off a pad lying there and deposited a couple of small particles on it.
